Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
AC2,SHARK,1599.99,Studied,17,1,Recalled,NA,5,Identical,QUART,NA,NA,unrelated,QUART,5,1
AC2,FIRST,1165.485,Studied,1,4,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
AC2,ALIVE,1284.3,Studied,2,4,Recalled,NA,2,Related,COBWEB,SPIDER,NA,unrelated,COBWEB,2,4
AC2,EGGS,4368.19,Studied,8,2,Recalled,NA,9,Related,INMATE,JAIL,NA,unrelated,INMATE,9,2
AC2,LEMON,8000.325,Studied,13,1,Recalled,NA,3,Unrelated,EXCUSE,NA,NA,unrelated,EXCUSE,3,1
AC2,BEACH,3583.4,Studied,26,2,Recalled,NA,2,Identical,CHAIR,NA,NA,unrelated,CHAIR,2,2
AC2,TENNIS,1365.43,Studied,27,4,Recalled,NA,4,Related,FAST,SLOW,NA,unrelated,FAST,4,4
AC2,,7999.095,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,TWELVE,2848.86,Studied,2,2,Recalled,NA,30,Related,HIGHWAY,ROAD,DOZEN,related,DOZEN,33,2
AC2,,8001.085,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.935,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.3,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.965,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,MOTHER,8001.38,Studied,13,4,Recalled,NA,12,Related,UNITED,STATES,NA,unrelated,UNITED,12,4
AC2,,8000.35,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,LAWYER,1782.69,Studied,28,2,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
AC2,,8000.61,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,SPIDER,1583.9,Studied,8,4,Recalled,NA,10,Related,CIRCLE,SQUARE,COBWEB,related,COBWEB,2,4
AC2,,8000.755,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.825,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.525,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.98,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.615,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.125,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8001.42,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.26,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8001.24,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.995,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.275,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.575,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7988.6,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.285,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.77,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.56,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.22,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.06,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8001.51,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,7999.16,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.705,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8011.765,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,8000.035,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,1816.075,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,883.51,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
AC2,,347.4,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
