Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
SK2,NE,7967,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,NEPHEW,4418,Studied,1,1,Recalled,NA,3,Unrelated,SELF,NA,NA,unrelated,SELF,3,1
SK2,FIVE,1619,Studied,1,2,Recalled,NA,5,Unrelated,JEANS,NA,NA,unrelated,JEANS,5,2
SK2,BELOW,1613,Studied,2,2,Recalled,NA,6,Unrelated,BOSS,NA,NA,unrelated,BOSS,6,2
SK2,THIRST,3752,Studied,15,3,Recalled,NA,3,Unrelated,YEAR,NA,NA,unrelated,YEAR,3,3
SK2,FIRST,1633,Studied,16,3,Recalled,NA,2,Unrelated,SHIP,NA,NA,unrelated,SHIP,2,3
SK2,THERE,6811,Studied,1,4,Recalled,NA,3,Unrelated,STRIPE,NA,NA,unrelated,STRIPE,3,4
SK2,WHERE,1717,Studied,22,4,Recalled,NA,4,Identical,SHOVE,NA,NA,unrelated,SHOVE,4,4
SK2,LOOK,1338,Studied,41,3,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
SK2,MOVE,5617,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,OUTTAKE,3741,Studied,18,1,Recalled,NA,11,Unrelated,SPOTS,NA,NA,unrelated,SPOTS,11,1
SK2,,8019,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,8002,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,2931,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,PICKLE,3727,Studied,7,1,Recalled,NA,8,Related,SALTINE,CRACKER,NA,unrelated,SALTINE,8,1
SK2,CHAIR,3080,Studied,16,1,Recalled,NA,"2,12",Identical,CLAM,NA,NA,unrelated,TOWN,12,1
SK2,,7786,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,55,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,155,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,250,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,492,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,342,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,341,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,300,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,254,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,256,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,142,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,300,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,254,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,,250,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
