RecalledWord,StudyPosition,Block
SOUTH,1,1
BRIDE,2,1
TIGHT,3,1
SORRY,4,1
SWEET,5,1
LEARN,6,1
DIRT,7,1
GHOST,8,1
PRESENT,9,1
KISS,10,1
JUMP,11,1
TRAIN,12,1
MINOR,13,1
SWAMP,14,1
PICTURE,15,1
ROAD,16,1
CAMP,17,1
STOMACH,18,1
FIVE,19,1
BELOW,20,1
FROG,21,1
POUND,22,1
HOOP,23,1
GEEK,24,1
SMILE,25,1
DEAF,26,1
HOTEL,27,1
WHEAT,28,1
DUSK,29,1
STARS,30,1
LAND,31,1
WORLD,32,1
TRASH,33,1
LAKE,34,1
SMOKE,35,1
DEVIL,36,1
SHOES,37,1
THIEF,38,1
DOOR,39,1
BLACK,40,1
NOISE,41,1
KILL,42,1
HUNGER,1,2
TOUR,2,2
SUPPER,3,2
THIRST,4,2
SPIDER,5,2
ALIVE,6,2
SEEK,7,2
FIRST,8,2
NOSE,9,2
MOTHER,10,2
SQUARE,11,2
PURPLE,12,2
THREAD,13,2
BUTTER,14,2
TENNIS,15,2
WINTER,16,2
TEST,17,2
INHALE,18,2
CHAIN,19,2
NAVY,20,2
KIDNAP,21,2
ARGUE,22,2
BRANCH,23,2
WAITER,24,2
BUCKET,25,2
CLUE,26,2
BALLET,27,2
BORROW,28,2
VERB,29,2
READ,30,2
TOES,31,2
MOST,32,2
STATES,33,2
SOAP,34,2
SLOW,35,2
NEWS,36,2
PAIN,37,2
MIDDLE,38,2
WILD,39,2
LOOK,40,2
CANDLE,41,2
LESS,42,2
QUEEN,1,3
CLOCK,2,3
CLOSE,3,3
GRASS,4,3
TIGER,5,3
ROCK,6,3
GIRLS,7,3
LEMON,8,3
QUART,9,3
DOLLAR,10,3
MINUS,11,3
OFFICE,12,3
SHORT,13,3
MEAN,14,3
TEETH,15,3
CANCER,16,3
ENTER,17,3
FOUND,18,3
CORAL,19,3
SPOON,20,3
PHONE,21,3
PLANT,22,3
LEAVES,23,3
THROW,24,3
MUSCLE,25,3
BEHIND,26,3
THERE,27,3
ANIMAL,28,3
WHOLE,29,3
SHARK,30,3
BEFORE,31,3
WHERE,32,3
MINUTE,33,3
HORSE,34,3
UNCLE,35,3
YOURS,36,3
PEPPER,37,3
FENCE,38,3
SHOVE,39,3
EARLY,40,3
FINGER,41,3
WORST,42,3
GLORY,1,4
CHAIR,2,4
STORY,3,4
HORN,4,4
SHEETS,5,4
ORANGE,6,4
NUMBER,7,4
JAIL,8,4
GUITAR,9,4
FLOWER,10,4
WORK,11,4
DREAM,12,4
SELLER,13,4
STREAM,14,4
YELLOW,15,4
BIRD,16,4
STAIRS,17,4
CHEESE,18,4
NEPHEW,19,4
DAGGER,20,4
BOMB,21,4
LENGTH,22,4
TWELVE,23,4
EGGS,24,4
WEIGHT,25,4
RIGHT,26,4
FRIGHT,27,4
PICKLE,28,4
BEACH,29,4
WEST,30,4
NICKEL,31,4
CRACKER,32,4
CHANGE,33,4
STOP,34,4
GROSS,35,4
LAWYER,36,4
CLAM,37,4
SMOOTH,38,4
FISH,39,4
MONEY,40,4
SONG,41,4
OUTTAKE,42,4
