DelayedWord,DelayedRT
CASTLE,2522.47
BABY,3298.49
SPOTS,3178.96
DOCTOR,2759.33
TOWN,4778.07
MOUNTAIN,4858.245
KING,7998.83
SHEEP,7997.81
MAD,5138.575
ONCE,1619.1
WANT,1859.15
CAKE,1719.03
OVEN,1538.905
FIRE,3978.37
MAID,2398.915
SOFT,2018.835
SWEET,2098.91
CHURCH,3678.45
SOUR,1838.25
JACKET,7998.475
SING,7998.49
MUSIC,2199.36
WRITE,2939.29
KNIT,7998.105
WOODS,7998.505
STRANGE,7998.04
SNEEZE,7998.35
FRONT,7999.25
WEIRD,7998.82
SICK,7997.59
PLAN,7998.57
VOLCANO,7999.16
SH,7997.505
CHOIR,7998.235
ABOVE,7999.085
PARTY,7997.87
GIRL,7998.83
MINIMUM,4098.535
SMALL,7998.83
FOOD,3178.36
STORE,5797.765
SPICY,2700.11
,7997.89
FAR,6458.615
MONKEY,5477.81
ENGLISH,3737.915
BALL,1379.225
LANGUAGE,7998.56
MEAN,7998.46
WALL,7997.855
SCISSORS,7998.24
SHIRT,7999.17
GIFT,7994.125
THROW,7998.5
WALK,7999.085
CELL,4817.82
SELL,1659.13
PENCIL,7998.2
PORCH,5859.015
ROSE,1900.79
PENNY,7999.34
RAKE,7997.53
GOOD,7997.925
HILLS,7257.595
WOODS,7997.76
TREAT,3118.96
CHEF,7998.47
BREAD,7998.55
NONE,3039.37
SOME,5107.94
GAME,2398.85
PLAY,5298.3
WIN,7998.525
QUIET,4638.675
LOVE,5438.14
YOUNG,7998.47
,7998.115
VALLEY,6197.975
FOREST,3078.76
MAKE,4058.63
DOUGH,7997.995
BOX,5098.38
JAR,5858.335
FORGET,7998.21
GARDEN,4978.205
LITTLE,7997.96
BURN,7998.135
WATCH,4158.63
KITCHEN,7998.26
SELL,8000.725
LOOK,7998.195
BOY,3618.575
TALL,5678.33
JEANS,3730.515
