RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
CLEAR,slash,2.43861,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
BANK,slash,1.873355,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
THANKS,slash,1.81428,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
KNIFE,slash,2.299685,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
ROCK,z,2.41851,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
STOMACH,z,1.065215,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
RIGHT,slash,1.48521,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
BOARD,slash,0.82515,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
SWEET,slash,1.35651,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
THREAD,slash,1.416545,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
JEANS,slash,1.26027,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
KIDNAP,slash,2.099345,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
MINUS,z,1.267005,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
OUTTAKE,z,2.16318,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
SKIN,slash,1.296865,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
STATES,z,2.32208,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
QUART,z,1.08107,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
STREET,slash,1.002055,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
WORK,slash,1.10113,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
SOUTH,slash,2.35769,AA,1,2020-08-30_13h27.33.644,DelayedExp,2020.1.3,60
