participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,ROAD,983,firstword,firstword,,1,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,SHOES,783,CARRY,Unrelated,49,2,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,SWAMP,1216,COPY,Unrelated,50,3,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,SMILE,883,ABDOMEN,Related,50,4,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,LEARN,932,GLASSES,Unrelated,50,5,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,GHOST,817,DAWN,Related,50,6,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,HOTEL,1000,SPICE,Unrelated,50,7,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,SWAMP,1034,KISS,Identical,50,8,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,SOUTH,1283,MINIMUM,Unrelated,50,9,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,THIEF,2633,SOFT,Unrelated,50,10,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,DIRT,2551,FROG,Identical,50,11,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,KISS,4599,HINGE,Related,50,12,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,FROG,1083,PRESENT,Identical,50,13,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,DEVIL,5749,BOSS,Unrelated,51,14,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,WRECK,1633,SWEET,Identical,50,15,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,3217,WHITE,Related,50,16,1
AD2,1,2020-09-28_13h17.00.503,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,399,NERD,Related,50,17,1
