DelayedWord,DelayedRT
FOUND,6000.555
LEMON,4168.795
LEAVES,2016.24
ROCK,3250.23
GIRLS,1599.26
THREAD,2055.16
,8002.18
PICKLE,4900.905
CRACKER,2199.96
LOOK,6116.89
WHERE,1361.93
THERE,2183.36
MOTHER,3002.795
WORK,1167.31
,8001.76
EYES,7199.995
FINGER,1799.86
TOES,1849.47
,8007.915
KILL,6419.435
THIEF,6508.11
,7999.065
,8000.94
,8000.765
MUSCLE,1800.025
ANIMAL,8004.365
PLANT,1448.72
,8001.235
HORSE,5600.085
FENCE,2365.5
SHARK,2500.855
,8002.055
,7999.185
,8003.33
TIGER,1599.885
,8001.41
OUTTAKE,5184.085
,8000.855
,8002.29
CATCH,4049.32
,8000.48
LOST,8001.175
JUMP,4502.495
,8001.495
GUITAR,6353.035
,8004.85
,7988.59
,8001.17
WATER,5777.485
,9163.095
START,2278.785
,7994.83
,7999.855
SIP,3729.77
THREAT,6419.375
,8001.745
,8022.065
CRACKER,5002.015
,8000.935
,8003.11
,7998.955
,3655.06
,333.655
,1072.06
YOURS,2300.48
,8001.955
,7999.465
,4571.015
,4769.865
,1449.535
WHEAT,5465.17
ROAD,1385.285
SWAMP,2736.065
,7998.45
CAMP,2718.57
GROSS,3922.68
EGGS,1465.83
,8000.96
,8000.67
BUS,820.15
,7999.97
,8001.495
,8006.955
,7999.645
,6784.93
,500.46
,3737.585
,5537.61
,5251.61
MAN,957.7799999
FIRE,1582.35
BRIDGE,4634.29
,1300.05
,333.23
,403.5449999
,300.78
,300.02
,253.675
MINE,3949.56
,8000.95
