"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"THIRST",1900.06,"firstword","firstword",NA,1,1,1,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"MIDDLE",1583.815,"TAME","Related",48.43000008,2,1,2,"Studied",NA,"WILD"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"FIRST",1467.115,"SHIP","Unrelated",49.69500005,3,1,3,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"CATCH",1572.005,"MOST","Identical",35.745,4,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"KIDNAP",1836.775,"VOLCANO","Unrelated",50.73999998,5,1,8,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"THREAD",1583.945,"TOES","Identical",49.89499995,6,1,13,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"VERB",1516.69,"GLANCE","Related",49.29500003,7,1,14,"Studied",NA,"LOOK"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"NAVY",4765.165,"DEAD","Related",50.23000005,8,1,29,"Studied",NA,"ALIVE"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"NOSE",1301.205,"PAIN","Identical",51.19000003,9,1,28,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"CLUE",1284.125,"COBWEB","Related",48.32000006,10,1,34,"Studied",NA,"SPIDER"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"LESS",1467.535,"TAKE","Unrelated",51.37,11,1,35,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"STATES",1631.57,"MAGIC","Unrelated",49.26500004,12,1,23,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"NEWS",1281.175,"LETTUCE","Unrelated",52.00000003,13,1,24,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"BALLOT",1481.915,"MUSIC","Unrelated",50.46000006,14,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"TEST",7029.915,"PURPLE","Identical",50.04,15,1,36,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"SOAP",1315.33,"SOAP","Identical",46.84000008,16,1,38,"Studied","Identical",NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"BUTTER",1684.375,"GUIDE","Related",49.77500008,17,1,39,"Studied",NA,"TOUR"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"MOTHER",1486.88,"COLLECT","Unrelated",35.75000004,18,1,20,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"LOOK",1431.86,"DESERT","Unrelated",50.66000007,19,1,26,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.52,"LEND","Related",50.32499996,20,1,NA,NA,NA,"BORROW"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"VERB",1604.285,"READ","Identical",50.09499996,21,1,14,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"CALL",6549.775,"ARGUE","Identical",49.20000001,22,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.705,"JACKET","Unrelated",48.68500005,23,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"READ",4351.21,"STICKY","Unrelated",49.505,24,1,40,"Studied","Identical",NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"DRIVE",1765.74,"DRESS","Unrelated",51.79000006,25,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"NEAR",3383.6,"TUTU","Related",49.92000002,26,1,NA,NA,NA,"BALLET"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"WORD",3717.675,"TALK","Unrelated",50.19500002,27,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"CATCH",4949.855,"FAMINE","Related",50.44499994,28,1,NA,NA,NA,"HUNGER"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7997.49,"SOUR","Unrelated",50.4699999,29,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8006.135,"SEEK","Identical",49.78499992,30,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.15,"CHOOSE","Unrelated",49.41500002,31,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998.88,"SQUARE","Identical",49.245,32,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"JUST",1848.44,"PAIL","Related",49.34000003,33,1,NA,NA,NA,"BUCKET"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"TREAT",7013.17,"TWIG","Related",38.17499999,34,1,NA,NA,NA,"BRANCH"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"JOY",4665.805,"SING","Unrelated",49.52500004,35,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8012.05,"WAITER","Identical",51.25999998,36,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"WAIT",1603.735,"SLOW","Identical",48.88999998,37,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"NOUN",5132.46,"CANDLE","Identical",49.91499998,38,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"BUCKET",2048.99,"RACKET","Related",49.37500006,39,1,27,"Studied",NA,"TENNIS"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"SAID",4948.975,"EXHALE","Related",50.24499993,40,1,NA,NA,NA,"INHALE"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.255,"WINTER","Identical",38.36499993,41,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.52,"HAIR","Unrelated",50.37000007,42,1,NA,NA,NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"FOUND",1335.965,"firstword","firstword",NA,1,2,1,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"DOLLAR",1267.765,"RAKE","Related",50.91500003,2,2,3,"Studied",NA,"LEAVES"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"UNCLE",1752.005,"GIRLS","Identical",50.52499997,3,2,4,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"MEAN",1083.945,"FLEX","Related",49.75500004,4,2,5,"Studied",NA,"MUSCLE"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"PHONE",1615.65,"AFTER","Related",51.66,5,2,6,"Studied",NA,"BEFORE"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"ANIMAL",1850.105,"CLOCK","Identical",52.47,6,2,12,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"PLANT",1166.23,"SHARK","Identical",50.39499991,7,2,13,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"SHARK",1917.31,"TRAILER","Unrelated",49.84500003,8,2,37,"Studied","Identical",NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"TIGER",1581.07,"BEST","Related",36.45000001,9,2,41,"Studied",NA,"WORST"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"HORSE",1502.255,"RENT","Unrelated",49.98500005,10,2,28,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"FENCE",1216.37,"WEED","Related",50.49000005,11,2,38,"Studied",NA,"GRASS"
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"GIRLS",1266.71,"RAIN","Unrelated",50.04500004,12,2,31,"Studied","Identical",NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"ROCK",2299.355,"STAMP","Unrelated",50.12499995,13,2,29,"Studied",NA,NA
"AD3",1,"2020-09-30_17h05.51.595","S1.2ConstantTotalFinal","2020.1.3",60,"LEAVES",1786.9,"SHORT","Identical",51.19000003,14,2,23,"Studied",NA,NA
