"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"LOVE",5786.585,"Studied",17,2,NA,"35","Related","CLARIFY","CLEAR","ADORE"
"BREAK",1766.04,"Studied",4,2,NA,"2","Unrelated","TENNIS",NA,NA
"DANCING",2083.185,NA,NA,NA,NA,"40","Related","SEIZE","TAKE",NA
"HAIR",8000.01,"Studied",15,2,NA,"12","Unrelated","BORROW",NA,NA
"SICK",2365.64,"Studied",25,2,NA,"15","Related","VIRUS","SICK","VIRUS"
"LETTUCE",2567.295,"Studied",22,2,NA,"14","Identical","TALK",NA,NA
"SWEA",8000.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STICKY",1866.08,"Studied",29,2,NA,"17","Unrelated","NAVY",NA,NA
"SWORD",8000.125,"Studied",42,2,NA,"26","Identical","HAPPY",NA,NA
"KNIFE",7999.905,"Studied",27,3,NA,"2","Unrelated","ENTER",NA,NA
"SCISSORS",3149.665,"Studied",31,3,NA,"3","Unrelated","FINGER",NA,NA
"BUSH",1432.825,"Studied",12,3,NA,"6,22","Unrelated","SHORT",NA,NA
"SHERIFF",5567.42,"Studied",7,3,NA,"8","Unrelated","ANIMAL",NA,NA
"GRAVE",2833.14,"Studied",20,4,NA,"27","Unrelated","LAWYER",NA,NA
"WEDDING",2582.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RENT",7999.605,"Studied",15,3,NA,"13","Related","INTENT","PURPOSE",NA
"GLASSES",3966.75,"Studied",10,1,NA,"4","Related","LENS","GLASSES","LENS"
"LARGE",1666.375,"Studied",11,1,NA,"3","Related","VAGUE","UNCLEAR",NA
"SILK",1698.8,"Studied",6,1,NA,"5","Related","BLAZE","FIRE",NA
"SMALL",1666.87,"Studied",14,1,NA,"7","Identical","BALL",NA,NA
"PAPERS",1549.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PENCIL",1566.14,"Studied",34,1,NA,"9","Related","SERVANT","MAID",NA
"BOSS",1367.005,"Studied",36,1,NA,"14","Identical","CAKE",NA,NA
"CASTLE",1400.69,"Studied",17,1,NA,"22","Unrelated","PICTURE",NA,NA
"BANK",2216.435,"Studied",16,1,NA,"12","Related","CLEVER","SMART",NA
"COPY",1849.87,"Studied",18,1,NA,"13","Identical","CARRY",NA,NA
"CARRY",2184.045,"Studied",4,1,"Identical","17","Identical","ENGLISH",NA,NA
"MAID",1600.45,"Studied",40,1,NA,"15","Related","CAUSE","EFFECT","SERVANT"
"PLAN",8000.635,"Studied",30,1,NA,"23","Unrelated","PRESENT",NA,NA
"",8000.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRE",7999.735,"Studied",28,1,NA,"40","Unrelated","BELOW",NA,"BLAZE"
"MONKEYS",8000.02,NA,NA,NA,NA,"11","Identical","SPICE",NA,NA
"NINE",8001.7,"Studied",31,1,NA,"10","Related","SCRATCH","ITCH",NA
"FRONT",4467.025,"Studied",2,1,NA,"2","Related","DIGNITY","PRIDE",NA
"WATER",8000.54,"Studied",1,1,NA,"1","firstword","firstword",NA,NA
"DISAGREE",7999.64,"Studied",13,3,NA,"5","Identical","MANY",NA,NA
