"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"CHAIR",3767.73,"firstword","firstword",NA,1,1,22,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"TWELVE",1933.22,"SHIRT","Unrelated",37.58,2,1,1,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"BEACH",1315.97,"INMATE","Related",49.09999997,3,1,7,"Studied",NA,"JAIL"
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"STREAM",1384.06,"STAIRS","Identical",49.90000001,4,1,5,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"FLOWER",1399.165,"FLOWER","Identical",50.29500002,5,1,4,"Studied","Identical",NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"EGGS",1253.21,"DREAM","Identical",49.39,6,1,3,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"DREAM",3051.14,"YELLOW","Identical",50.24499999,7,1,39,"Studied","Identical",NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"LENGTH",2485.89,"CASH","Related",50.19000001,8,1,38,"Studied",NA,"MONEY"
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"LAWYER",2249.47,"EXPLODE","Unrelated",50.25500001,9,1,26,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"WORK",1067.09,"HORN","Identical",50.43999999,10,1,10,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"DAGGER",2215.86,"RIGHT","Identical",49.77499999,11,1,9,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"LENGTH",1532.28,"DOCTOR","Unrelated",50.35,12,1,38,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"SMOOTH",1135.525,"NEPHEW","Identical",49.21999999,13,1,8,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"GLORY",4566.755,"SCARE","Related",51.24,14,1,41,"Studied",NA,"FRIGHT"
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"STORY",1531.665,"PROPER","Unrelated",48.935,15,1,33,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"GROSS",1165.455,"GRAND","Unrelated",51.12999998,16,1,31,"Studied",NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",8002.965,"BOMB","Identical",51.19,17,1,NA,NA,NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"DREAM",6304.755,"KNIT","Unrelated",38.86500001,18,1,39,"Studied","Identical",NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"JOB",7552.35,"GUITAR","Identical",50.00000002,19,1,NA,NA,NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"FRIGHT",8001.025,"PARROT","Related",49.42,20,1,36,"Studied",NA,"BIRD"
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",8005.8,"SELLER","Identical",49.485,21,1,NA,NA,NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.735,"SONG","Identical",49.34999999,22,1,NA,NA,NA,NA
"AS3",1,"2020-10-26_11h46.33.558","S1.4ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.85,"DIGIT","Related",49.6,23,1,NA,NA,NA,"NUMBER"
