RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
HEAD,slash,1.620945,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
TEETH,slash,0.837395,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
LAWYER,z,0.960405,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
HAIR,slash,0.812915,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BALLET,slash,0.64767,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SPOTS,z,0.77467,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
TIRED,slash,0.61729,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
STOMACH,slash,0.47,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
MINOR,z,0.51448,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SOFT,slash,0.72938,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SMOOTH,slash,0.431905,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
ROOF,slash,0.30356,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SMELL,slash,0.50343,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BEHIND,z,0.25653,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
FRONT,slash,0.26729,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
OFFICE,slash,0.23947,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BLACK,slash,0.21496,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
ANIMAL,z,0.269415,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
STORY,slash,0.321615,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BEFORE,slash,0.280315,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SPICE,z,0.26632,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
FENCE,z,0.236175,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
DEVIL,z,0.423,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
PROPER,slash,0.24734,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
JEANS,slash,0.27897,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
NONE,z,0.265145,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
REPEAT,slash,0.397715,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
YEAR,slash,0.737575,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
CRACKER,slash,0.46454,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
FLOWER,z,0.364155,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
ARGUE,slash,0.406595,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
GRASS,slash,0.629705,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
COPY,slash,1.1159,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
LARGE,slash,0.29771,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
COLLECT,z,0.59118,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SPIT,z,0.61738,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
EGGS,z,0.445415,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
WEIGHT,slash,0.3646,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
CORAL,slash,0.42874,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SHARK,z,0.56486,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
MATH,slash,0.30389,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
RENT,slash,0.7774,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BIRD,slash,0.77123,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
KIDNAP,slash,0.66546,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
WHERE,z,0.334375,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
OUTTAKE,slash,0.369625,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
SUPPER,slash,0.44769,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
CHEESE,z,0.349665,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
BUCKET,z,0.36536,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
FRIGHT,slash,0.39518,BT,1,2020-10-10_01h01.48.053,DelayedExp,2020.1.3,60
