RecalledWord,StudyPosition,Block
CORAL,1,1
SPOON,2,1
DOLLAR,3,1
QUEEN,4,1
SHOVE,5,1
BEHIND,6,1
GRASS,7,1
FENCE,8,1
CLOSE,9,1
UNCLE,10,1
BEFORE,11,1
LEAVES,12,1
WORST,13,1
YOURS,14,1
WHOLE,15,1
FINGER,16,1
WHERE,17,1
THERE,18,1
PEPPER,19,1
FOUND,20,1
THROW,21,1
ENTER,22,1
PLANT,23,1
GIRLS,24,1
CLOCK,25,1
MEAN,26,1
ROCK,27,1
LEMON,28,1
CANCER,29,1
TEETH,30,1
MINUTE,31,1
PHONE,32,1
HORSE,33,1
SHARK,34,1
MUSCLE,35,1
SHORT,36,1
TIGER,37,1
OFFICE,38,1
EARLY,39,1
MINUS,40,1
QUART,41,1
ANIMAL,42,1
FISH,1,2
GLORY,2,2
GUITAR,3,2
YELLOW,4,2
STAIRS,5,2
WEIGHT,6,2
LENGTH,7,2
CLAM,8,2
NICKEL,9,2
BOMB,10,2
BIRD,11,2
FRIGHT,12,2
FLOWER,13,2
SONG,14,2
DREAM,15,2
STOP,16,2
ORANGE,17,2
NEPHEW,18,2
CHANGE,19,2
TWELVE,20,2
SMOOTH,21,2
WORK,22,2
MONEY,23,2
HORN,24,2
WEST,25,2
RIGHT,26,2
JAIL,27,2
CHEESE,28,2
BEACH,29,2
DAGGER,30,2
CHAIR,31,2
OUTTAKE,32,2
EGGS,33,2
SELLER,34,2
LAWYER,35,2
SHEETS,36,2
STORY,37,2
NUMBER,38,2
CRACKER,39,2
STREAM,40,2
PICKLE,41,2
GROSS,42,2
LAKE,1,3
GEEK,2,3
ROAD,3,3
NOISE,4,3
HOOP,5,3
SOUTH,6,3
BELOW,7,3
DIRT,8,3
JUMP,9,3
PRESENT,10,3
KISS,11,3
LAND,12,3
BRIDE,13,3
POUND,14,3
TRASH,15,3
MINOR,16,3
PICTURE,17,3
SWEET,18,3
TRAIN,19,3
FROG,20,3
TIGHT,21,3
SMILE,22,3
DOOR,23,3
SMOKE,24,3
HOTEL,25,3
CAMP,26,3
SORRY,27,3
STARS,28,3
DEVIL,29,3
SWAMP,30,3
BLACK,31,3
DEAF,32,3
KILL,33,3
GHOST,34,3
LEARN,35,3
SHOES,36,3
STOMACH,37,3
THIEF,38,3
DUSK,39,3
WHEAT,40,3
WORLD,41,3
FIVE,42,3
LESS,1,4
SUPPER,2,4
KIDNAP,3,4
NEWS,4,4
BRANCH,5,4
BUTTER,6,4
READ,7,4
TOES,8,4
ALIVE,9,4
BALLET,10,4
FIRST,11,4
WILD,12,4
STATES,13,4
VERB,14,4
TEST,15,4
ARGUE,16,4
INHALE,17,4
MIDDLE,18,4
MOST,19,4
SEEK,20,4
CANDLE,21,4
CHAIN,22,4
THIRST,23,4
WAITER,24,4
BUCKET,25,4
HUNGER,26,4
TOUR,27,4
SPIDER,28,4
SOAP,29,4
PURPLE,30,4
THREAD,31,4
PAIN,32,4
SLOW,33,4
WINTER,34,4
TENNIS,35,4
MOTHER,36,4
SQUARE,37,4
NAVY,38,4
BORROW,39,4
NOSE,40,4
CLUE,41,4
LOOK,42,4
