"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"SHERIFF",3683.75,"Studied",21,2,NA,"14","Unrelated","QUEEN",NA,NA
"BOARD",4055.235,"Studied",1,1,NA,"2","Unrelated","NAVY",NA,NA
"HAPPY",2500.985,"Studied",17,1,NA,"20","Identical","CHURCH",NA,NA
"DESERT",1563.555,"Studied",2,1,NA,"1","firstword","firstword",NA,NA
"WARM",1121.79,"Studied",10,1,NA,"3","Unrelated","BRANCH",NA,NA
"ROOF",2750.41,"Studied",15,1,"Identical",NA,NA,NA,NA,NA
"TREE",2708.57,"Studied",12,1,NA,"8","Identical","HAIR",NA,NA
"BREAK",1349.745,"Studied",11,1,NA,"7","Related","VIRUS","SICK",NA
"",8000.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STREET",2219.06,"Studied",34,1,NA,"17","Identical","FIND",NA,"MAIN"
"SHIP",2801.235,"Studied",30,1,"Identical","16","Identical","VOLCANO",NA,NA
"SWORD",1684.1,"Studied",33,1,NA,"15","Identical","STRANGE",NA,NA
"ANGRY",2683.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUILT",1183.515,"Studied",24,3,NA,"14","Related","GRAFT","SKIN",NA
"ANNOY",1399.98,"Studied",15,2,NA,"13","Unrelated","HORSE",NA,NA
"CLOWN",5251.655,"Studied",19,2,NA,"9","Related","BIRTH","DEATH",NA
"PURPOE",2498.785,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PURPOSE",1317.33,"Studied",2,2,NA,"5","Unrelated","PEPPER",NA,NA
"RAIN",1216.515,"Studied",1,2,NA,"4","Unrelated","MEAN",NA,NA
"SHALLOW",3753.04,"Studied",24,2,NA,"11","Related","BLADE","KNIFE",NA
"KNIFE",1882.96,"Studied",22,2,NA,"16","Related","PART","PIECE","BLADE"
"KIDS",5634.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOOTH",1316.565,"Studied",1,3,NA,"2","Unrelated","CLAM",NA,NA
