"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"DESERT",2781.945,"firstword","firstword",NA,1,1,2,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"BOARD",1432.705,"NAVY","Unrelated",49.47,2,1,1,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"WARM",1383.355,"BRANCH","Unrelated",47.935,3,1,10,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"JACKET",1419.19,"SING","Identical",49.415,4,1,5,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"BELL",1334.4,"GOURMET","Related",48.865,5,1,8,"Studied",NA,"FOOD"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"STICKY",1732.775,"LOSE","Identical",50.71,6,1,9,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"BREAK",1402.255,"VIRUS","Related",49.90999999,7,1,11,"Studied",NA,"SICK"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"TREE",1438.04,"HAIR","Identical",48.905,8,1,12,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"SING",7033.645,"SHIP","Identical",50.305,9,1,20,"Studied","Identical",NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"DRESS",1599.445,"TOES","Unrelated",49.33,10,1,27,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"COLLECT",2451.405,"BORROW","Unrelated",50.31,11,1,38,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"LETTUCE",2067.19,"MAIN","Related",49.21,12,1,19,"Studied",NA,"STREET"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"FOOD",1384.03,"WINTER","Unrelated",49.325,13,1,28,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"MAYBE",1589.82,"CLUE","Unrelated",49.75999999,14,1,35,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"SWORD",1954.28,"STRANGE","Identical",49.61,15,1,33,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"SHIP",1666.865,"VOLCANO","Identical",49.775,16,1,30,"Studied","Identical",NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"STREET",7999.92,"FIND","Identical",50.24500001,17,1,34,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"STORE",8000.26,"ZERO","Related",49.675,18,1,42,"Studied",NA,"NONE"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"FOOD",8001.055,"HEAR","Identical",49.815,19,1,28,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"HAPPY",8001.215,"CHURCH","Identical",48.335,20,1,17,"Studied",NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"PICK",8000.24,"NEWS","Unrelated",48.95500001,21,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8004.065,"WAND","Related",48.39,22,1,NA,NA,NA,"MAGIC"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.94,"CLEAR","Identical",50.145,23,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8002.15,"MUSIC","Identical",50.075,24,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.125,"ADORE","Related",49.535,25,1,NA,NA,NA,"LOVE"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.495,"SOUR","Identical",51.54499999,26,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.245,"SQUARE","Unrelated",49.375,27,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8007.375,"YEAR","Identical",48.795,28,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7993.375,"PERFUME","Related",48.375,29,1,NA,NA,NA,"SMELL"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.875,"LAUGH","Identical",49.01,30,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.71,"DISCUSS","Related",49.475,31,1,NA,NA,NA,"TALK"
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.615,"PROBLEM","Identical",52.915,32,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.16,"TAKE","Identical",50.305,33,1,NA,NA,NA,NA
"EC",1,"2020-08-24_13h51.34.704","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001,"CHESS","Related",50.44,34,1,NA,NA,NA,"GAME"
