RecalledWord,StudyPosition,Block
WOOD,1,1
GRAVE,2,1
STEAL,3,1
HEAD,4,1
SHIRT,5,1
NIGHTS,6,1
DOCTOR,7,1
STUPID,8,1
MOVE,9,1
STRESS,10,1
STING,11,1
PENNY,12,1
RULE,13,1
MILK,14,1
SKIN,15,1
BABY,16,1
EXPLODE,17,1
SELF,18,1
WRITE,19,1
ARMS,20,1
SPOTS,21,1
TOUCH,22,1
LIGHT,23,1
BRAIN,24,1
TOWN,25,1
FAKE,26,1
TOOTH,27,1
GRAND,28,1
UNDER,29,1
KNIT,30,1
CLASS,31,1
ROSE,32,1
SHEEP,33,1
BREAD,34,1
CELL,35,1
GUILT,36,1
SUBJECT,37,1
REPEAT,38,1
BIKE,39,1
PROPER,40,1
CLIMB,41,1
MATH,42,1
CASTLE,1,2
LARGE,2,2
WATER,3,2
PAPER,4,2
JEANS,5,2
PENCIL,6,2
FIRE,7,2
SLEEP,8,2
MAID,9,2
PRIDE,10,2
MAD,11,2
MONKEY,12,2
BALL ,13,2
MINIMUM,14,2
GLASSES,15,2
HELLO,16,2
FINISH,17,2
SPICE,18,2
COPY,19,2
SILK,20,2
UNCLEAR,21,2
CAKE,22,2
ALLOW,23,2
BOSS,24,2
ENGLISH,25,2
NINE,26,2
FRONT,27,2
TIRED,28,2
LETTER,29,2
ONCE,30,2
SOFT,31,2
SNEEZE,32,2
BANK,33,2
SURE,34,2
PLAN,35,2
WANT,36,2
CARRY,37,2
SMART,38,2
SMALL,39,2
ITCH,40,2
OVEN,41,2
EFFECT,42,2
SING,1,3
VOLCANO,2,3
LOSE,3,3
DESERT,4,3
NONE,5,3
SOUR,6,3
FOOD,7,3
STORE,8,3
ROOF,9,3
COLLECT,10,3
LOVE,11,3
BELL,12,3
FIND,13,3
HAIR,14,3
SMELL,15,3
BREAK,16,3
STRANGE,17,3
SICK,18,3
PROBLEM,19,3
GAME,20,3
STREET,21,3
SHIP,22,3
MAYBE,23,3
MUSIC ,24,3
SWORD,25,3
YEAR,26,3
CHURCH,27,3
JACKET,28,3
HEAR,29,3
DRESS,30,3
TAKE,31,3
BOARD,32,3
LAUGH,33,3
CHOOSE,34,3
TALK,35,3
HAPPY,36,3
WARM,37,3
MAGIC,38,3
STICKY,39,3
CLEAR,40,3
TREE,41,3
LETTUCE,42,3
PURPOSE,1,4
WRONG,2,4
QUIET,3,4
CARD,4,4
CHILD,5,4
BUSH,6,4
STAMP,7,4
EXCUSE,8,4
YOUNG,9,4
ANNOY,10,4
SPIT,11,4
SLIDE,12,4
DRAW,13,4
REAL,14,4
SHALLOW,15,4
TRAILER,16,4
THIN,17,4
PACKAGE,18,4
KNIFE,19,4
DISAGREE,20,4
VOTE,21,4
RAIN,22,4
HATE,23,4
THANKS,24,4
CLOWN,25,4
TOCK,26,4
DEATH,27,4
NECK,28,4
SAME,29,4
RENT,30,4
SCISSORS,31,4
TOOL,32,4
DRUGS,33,4
EXACT,34,4
SHERIFF,35,4
PLANE ,36,4
POTATO,37,4
MARRY,38,4
MANY,39,4
SILVER,40,4
PIECE,41,4
STRIPE,42,4
