"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"ORANGE",5832.99,"Studied",6,1,NA,"16","Identical","STAIRS",NA,NA
"BOMB",1116.69,"Studied",4,1,NA,"17","Unrelated","STUPID",NA,"ATOM"
"DREAM",1132.505,"Studied",3,1,"Identical","15","Related","TALE","STORY",NA
"STREAM",1367.42,"Studied",20,1,NA,"13","Related","SALTINE","CRACKER",NA
"NEPHEW",2634.35,"Studied",19,1,NA,"3","Related","INMATE","JAIL",NA
"YEL",7999.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YELLOW",3316.325,"Studied",28,1,NA,"22","Identical","SHEETS",NA,"MELLOW"
"SHEET",2448.6,NA,NA,NA,NA,"21","Identical","WORK",NA,NA
"MONEY",2865.83,"Studied",21,1,NA,"14","Unrelated","MILK",NA,NA
"LAWYER",1849.6,"Studied",22,1,NA,"29","Unrelated","BRAIN",NA,NA
"NICKLE",1284.92,NA,NA,NA,NA,"1","firstword","firstword",NA,NA
"PICKLE",1350.7,"Studied",2,1,NA,"2","Related","MELLOW","YELLOW",NA
"DAGGER",2184.39,"Studied",34,1,NA,"5","Identical","BIRD",NA,NA
"FRIGHT",1399.565,"Studied",38,1,NA,"11","Identical","WEST",NA,NA
"TWELVE",1616.65,"Studied",37,1,NA,"6","Related","DIGIT","NUMBER",NA
"CHAIR",4400.04,"Studied",36,1,NA,"4","Related","ATOM","BOMB",NA
"",7998.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROAD",1682.945,"Studied",2,2,NA,"2","Identical","LAKE",NA,NA
"BRIDE",1332.95,"Studied",37,2,NA,"27","Related","ABDOMEN","STOMACH",NA
"LAKE",1167.435,"Studied",38,2,"Identical","28","Identical","BLACK",NA,NA
"GEEK",1348.93,"Studied",11,2,NA,NA,NA,NA,NA,"NERD"
"",8000.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
