DelayedWord,DelayedRT
,7998.54
FOIL,5821.315
CHILD,4015.45
UNDER,1465.85
FOOT,1266.395
SILVER,3440.46
SAW,7664.69
LOG,8000.19
SEAL,5965.315
SPICE,1381.9
ICE,8000.945
FOIL,7990.79
LOOSE,6898.225
SNAP,5065.745
,8001.695
COW,8001.685
CAKE,6804.435
LIFE,7999.93
TRAMPLED,5715.795
,7992.91
APPLE,7987.92
PENNY,3354.56
PILE,1986.8
LIFT,3965.7
NICE,6016.585
TOW,8000.085
BRAIN,7993.065
BLOW,3414.965
HEAD,5133.53
AHEAD,7990.84
,8000.15
LIKE,4872.305
TREE,8001.34
LEAF,5264.495
MOUSE,5733.165
ROLL,7107.795
,7999.73
FEET,3498.555
JOB,6792.795
SALARY,4115.35
LOAN,3815.96
DATE,6533.09
CARE,5887.745
CLIP,5766.26
CARE,8004.715
MAGNET,7990.795
PENCIL,4714.865
NOTE,3532.59
PIN,3423.94
BOOK,5482.42
CLOCK,7995.36
,7998.645
BOX,5782.43
LOVE,6965.49
BEAT,7994.175
MONKEY,4164.965
SHEET,6036.765
ROCK,6762.545
HEAP,4948.26
,8006.975
FAIR,3548.6
SEED,6219.685
TOOL,3331.72
SEE,5149.185
CARD,5982.475
SICK,7258.205
HOUSE,6517.325
NOSE,7994.85
,7994.85
BEAR,3053.27
WHAT,7986.725
,8003.47
,8002.465
,7988.325
HATS,2702.165
LOG,5232.57
SOIL,2708.6
,7997.015
PAGE,1236.9
LIGHT,5538.82
,8012.665
,7996.48
TIME,4398.205
MIND,5615.715
HAIR,6855.63
PEN,6149.5
NOTE,5904.38
,8000.005
DRUM,1899.02
PUSH,5023.28
CORN,4667.33
CROP,1357.8
,5966.545
