DelayedWord,DelayedRT
COLONY,4200.71
BALL,5716.97
CHOOSE,2533.81
GAME,951.035
WATER,1250.31
FUNERAL,2116.27
VOTE,3166.6
SCISSORS,1616.32
DEATH,2467.29
ANNOY,4367.83
OVEN,1766.955
LOSE,2717.405
CHURCH,2734.52
POLE,3817.525
BREAD,2200.735
STEAL,1032.445
KNIT,2983.08
RUN,901.28
SOFT,850.18
HARD,851.29
TRAILER,1450.46
KID,1482.01
GOLD,2399.45
DRINK,1233.555
FOOD,1019.605
GLASSES,2114.9
MAID,998.685
MAD,567.8
PENNY,3249.24
STUPID,1098.995
STRESS,1067.68
EXCUSE,6415.805
ONCE,3716.07
COUGH,3049.43
HELLO,2369.495
LEAVE,2083.175
BUSH,3137.935
DISAGREE,2917.19
DRUGS,2200.735
RAIN,1384.415
DOCTOR,3165.98
NURSE,1252.27
SPOTS,1133.5
ENGLISH,2251.305
SCIENCE,2748.625
LETTUCE,2318.125
CLASS,3149.415
CELL,1015.655
TOOTH,999.715
HAIR,769.67
LIGHT,2768.265
IDK,2600.255
COMPUTER,2932.99
PLAN,1899.375
TEST,1199.545
IDK,2916.925
,8001.7
MUSIC,3151.43
DANCE,916.145
THEATRE,1885.195
MOVIE,1702.07
PACKAGE,5951.005
MAIL,916.925
,8000.11
,7999.335
,8000.92
HELP,6369.415
WORD,5867.905
,7999.395
,7999.66
,8002.36
MAYBE,7000.65
SCHOOL,3584.605
EARTHQUAKE,6283.3
LOSE,3583.285
FIND,733.085
TREASURE,2665.47
COIN,1367.535
MONEY,2301.55
MANY,4548.63
POTATO,5182.425
,8000.825
,7998.965
,8000.5
,7999.28
,8001.705
,8001.745
,8000.68
,8001.065
,7999.705
,8000.81
,8000.57
,8001.565
,8000.05
,8000.68
HELLO,5186.175
GOODBYE,4051.47
SING,2350.585
ANNOY,2882.225
STUPID,4070.565
