"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"BALL",2584.135,"firstword","firstword",NA,1,1,NA,NA,NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"ALLOW",900.9049998,"KISS","Unrelated",52.09999997,2,1,32,"Studied",NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"ITCH",4767.975,"OVEN","Identical",50.09999988,3,1,31,"Studied",NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"SNEEZE",1783.125,"PRESENT","Unrelated",50.47999998,4,1,28,"Studied",NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"WATER",4800.17,"ENGLISH","Identical",51.23999994,5,1,2,"Studied",NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"MAID",1801.71,"MEDIUM","Related",50.0200002,6,1,13,"Studied",NA,"LARGE"
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"MAD",1034.66,"TWICE","Related",49.82500011,7,1,35,"Studied",NA,"ONCE"
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"TIRED",2549.1,"CASTLE","Identical",49.79999992,8,1,42,"Studied",NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"ENGLISH",6651.045,"SCHEME","Related",50.21000002,9,1,39,"Studied","Identical","PLAN"
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"S",8001.4,"UNCLEAR","Identical",49.45500009,10,1,NA,NA,NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.05,"GEEK","Unrelated",49.94000006,11,1,NA,NA,NA,NA
"GA",1,"2020-07-26_13h00.00.144","S2.1ConstantTotalFinal","2020.1.3",60,"SOFT",3149.2,"EFFECT","Identical",49.96000021,12,1,38,"Studied",NA,NA
