RecalledWord,StudyPosition,Block
PEPPER,1,1
PHONE,2,1
THERE,3,1
TEETH,4,1
SHARK,5,1
THROW,6,1
YOURS,7,1
ROCK,8,1
ANIMAL,9,1
WORST,10,1
CLOSE,11,1
UNCLE,12,1
EARLY,13,1
BEHIND,14,1
OFFICE,15,1
FINGER,16,1
PLANT,17,1
MINUS,18,1
TIGER,19,1
WHERE,20,1
SHORT,21,1
QUART,22,1
CANCER,23,1
MINUTE,24,1
CLOCK,25,1
CORAL,26,1
DOLLAR,27,1
FENCE,28,1
QUEEN,29,1
SPOON,30,1
MUSCLE,31,1
LEMON,32,1
ENTER,33,1
SHOVE,34,1
GIRLS,35,1
FOUND,36,1
MEAN,37,1
WHOLE,38,1
BEFORE,39,1
GRASS,40,1
LEAVES,41,1
HORSE,42,1
WEST,1,2
TWELVE,2,2
STOP,3,2
WEIGHT,4,2
NICKEL,5,2
CLAM,6,2
YELLOW,7,2
GUITAR,8,2
GLORY,9,2
HORN,10,2
STAIRS,11,2
CHANGE,12,2
DREAM,13,2
SHEETS,14,2
FRIGHT,15,2
SMOOTH,16,2
OUTTAKE,17,2
NEPHEW,18,2
LENGTH,19,2
FLOWER,20,2
CRACKER,21,2
SONG,22,2
LAWYER,23,2
BOMB,24,2
STORY,25,2
NUMBER,26,2
BEACH,27,2
BIRD,28,2
PICKLE,29,2
CHAIR,30,2
SELLER,31,2
GROSS,32,2
FISH,33,2
RIGHT,34,2
MONEY,35,2
DAGGER,36,2
WORK,37,2
CHEESE,38,2
ORANGE,39,2
JAIL,40,2
EGGS,41,2
STREAM,42,2
SHOES,1,3
WHEAT,2,3
SMILE,3,3
HOTEL,4,3
LAND,5,3
FROG,6,3
CAMP,7,3
ROAD,8,3
HOOP,9,3
DOOR,10,3
PRESENT,11,3
THIEF,12,3
STOMACH,13,3
TRASH,14,3
BLACK,15,3
DEAF,16,3
SORRY,17,3
JUMP,18,3
WORLD,19,3
SMOKE,20,3
GHOST,21,3
DUSK,22,3
NOISE,23,3
STARS,24,3
SWEET,25,3
TRAIN,26,3
KISS,27,3
PICTURE,28,3
POUND,29,3
DIRT,30,3
BRIDE,31,3
SOUTH,32,3
LAKE,33,3
BELOW,34,3
TIGHT,35,3
MINOR,36,3
DEVIL,37,3
SWAMP,38,3
GEEK,39,3
KILL,40,3
LEARN,41,3
FIVE,42,3
NAVY,1,4
SLOW,2,4
SOAP,3,4
PURPLE,4,4
READ,5,4
TOUR,6,4
MIDDLE,7,4
ARGUE,8,4
INHALE,9,4
HUNGER,10,4
KIDNAP,11,4
CANDLE,12,4
LESS,13,4
BALLET,14,4
WILD,15,4
THIRST,16,4
MOTHER,17,4
BRANCH,18,4
WAITER,19,4
BORROW,20,4
NEWS,21,4
ALIVE,22,4
SEEK,23,4
TOES,24,4
STATES,25,4
TENNIS,26,4
CHAIN,27,4
LOOK,28,4
VERB,29,4
FIRST,30,4
SUPPER,31,4
BUCKET,32,4
WINTER,33,4
TEST,34,4
MOST,35,4
BUTTER,36,4
SQUARE,37,4
THREAD,38,4
SPIDER,39,4
CLUE,40,4
PAIN,41,4
NOSE,42,4
