"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"TRASH",3221.015,"Studied",2,2,NA,"14,20","Identical","JUMP",NA,NA
"HOTEL",1583.565,"Studied",10,2,NA,"2","Identical","PICTURE",NA,NA
"KILL",1149.29,"Studied",3,2,NA,"6","Identical","POUND",NA,NA
"KISS",1084.64,"Studied",40,2,NA,"7","Identical","GHOST",NA,NA
"TWELVE",1787.615,"Studied",9,1,NA,"7","Related","NIECE","NEPHEW",NA
"NEPHEW",1867.305,"Studied",19,1,NA,"10","Unrelated","BIKE",NA,"NIECE"
"UNCLE",1216.615,"Studied",24,4,NA,"20","Unrelated","PURPOSE",NA,"AUNT"
"YELLOW",1800.595,"Studied",30,1,NA,"11","Related","ATOM","BOMB",NA
"CHEESE",1435.065,"Studied",23,1,NA,"4","Unrelated","GUILT",NA,NA
"GRASS",5900.755,"Studied",36,4,NA,"18","Unrelated","PACKAGE",NA,"WEED"
"",8003.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAIN",2549.7,"Studied",14,2,NA,"3","Identical","TIGHT",NA,NA
"LAND",1323.435,"Studied",26,2,"Identical","38","Identical","LAND",NA,NA
"STARS",1433.955,"Studied",4,2,NA,"4,11","Unrelated","LARGE",NA,NA
"STOMACH",1573.655,"Studied",16,2,NA,"10","Unrelated","MAID",NA,NA
"SWAMP",1899.9,"Studied",7,2,NA,"5","Unrelated","SURE",NA,NA
"SOUTH",2349.645,"Studied",42,2,NA,"18","Unrelated","ITCH",NA,NA
"",8000.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4171.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PICKLE",4785.305,"Studied",15,1,NA,"3","Unrelated","WOOD",NA,NA
"NICKEL",1437.93,"Studied",1,1,NA,"2","Unrelated","SUBJECT",NA,NA
"BEACHH",1767.815,NA,NA,NA,NA,"9","Identical","GUITAR",NA,NA
"BEACH",1610.52,"Studied",8,1,NA,"5","Related","BROOK","STREAM",NA
"CLAM",1148.405,"Studied",2,1,NA,"1","firstword","firstword",NA,NA
"FISH",1066.52,"Studied",7,1,NA,"6","Identical","WORK",NA,NA
"GROSS",1232.585,"Studied",3,1,NA,"13","Unrelated","PENNY",NA,NA
"CRACKER",5949.045,"Studied",26,1,NA,"12,28","Unrelated","GRAVE",NA,NA
"",8001.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HORSE",3981.525,"Studied",37,4,NA,"14","Identical","PEPPER",NA,NA
"TIGER",1315.445,"Studied",31,4,NA,"13","Unrelated","THIN",NA,NA
"THROW",1102.035,"Studied",1,4,NA,"3","Related","TALL","SHORT",NA
"TEETH",1658.7,"Studied",2,4,NA,"5","Related","PINT","QUART",NA
"SHARK",2716.635,"Studied",40,4,NA,"15","Identical","MINUTE",NA,NA
"ANIMAL",1549.435,"Studied",20,4,"Identical",NA,NA,NA,NA,NA
"TIGER",5066.255,"Studied",31,4,NA,"13","Unrelated","THIN",NA,NA
"",8000.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8005.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE",4401.15,"Studied",17,2,NA,"12","Unrelated","CARRY",NA,NA
"",7998.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRASH",7949.23,"Studied",2,2,NA,"14,20","Identical","JUMP",NA,NA
"BELOW",8003.95,"Studied",21,2,"Identical",NA,NA,NA,NA,NA
"BEFORE",3112.84,"Studied",30,4,"Identical","28","Identical","BEFORE",NA,NA
