RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
YOUNG,z,2.843245,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CHEESE,slash,1.24644,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
DUSK,slash,0.847635,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STOMACH,z,1.09255,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MAYBE,z,0.770935,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BOARD,z,1.76489,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STRESS,slash,0.88465,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
ORANGE,slash,2.114475,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STICKY,z,0.7653,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
LEMON,slash,0.730225,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BELL,slash,1.43429,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MOST,slash,1.949895,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MEAN,slash,0.82273,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
POUND,slash,0.766075,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
HAPPY,slash,3.035745,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
JAIL,z,1.01505,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STRANGE,z,0.930845,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SORRY,slash,0.566795,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
NOSE,slash,1.15431,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MONEY,slash,3.050455,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
LAWYER,z,1.179755,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
PEPPER,z,0.865105,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MINOR,slash,0.96609,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
HATE,slash,3.335875,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
WARM,z,1.518645,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STING,z,0.968,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
VOTE,z,0.8536,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
FOOD,z,0.86996,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
ANNOY,,,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BUTTER,slash,1.88172,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BELOW,slash,0.74535,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
UNCLEAR,z,0.80493,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MUSCLE,slash,0.69696,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SHEEP,z,1.014265,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STORE,z,0.98277,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
PIECE,z,0.91875,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
DIRT,slash,0.884695,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
THERE,slash,0.66533,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
TIRED,z,0.898465,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BALL ,z,1.283605,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CARD,z,0.744855,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
FIVE,slash,1.03393,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SHOES,slash,0.79988,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SWORD,slash,1.264705,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BIKE,z,0.870575,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
ARGUE,z,0.80155,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
DEAF,slash,1.488975,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CHURCH,z,1.08349,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
TRAILER,z,0.817865,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CASTLE,slash,3.41444,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SKIN,slash,1.765595,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
THREAD,z,0.93233,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
UNDER,slash,0.83779,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SICK,z,1.19824,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CANDLE,z,1.2338,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
FRIGHT,z,1.31487,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MONKEY,z,1.385695,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
GRASS,slash,0.664045,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STORY,slash,1.68156,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
MIDDLE,z,1.08332,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BLACK,z,2.35166,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
RIGHT,slash,0.899895,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SHEETS,slash,1.96761,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
LEAVES,slash,0.8373,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CHANGE,z,1.681265,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
WORK,z,2.78132,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SHIP,z,3.784235,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
NECK,z,1.737445,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
DOCTOR,z,0.767515,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
RAIN,slash,0.83322,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
HAIR,z,1.852135,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SPOON,slash,0.74738,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
YOURS,z,1.437395,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
TEETH,slash,1.96449,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
BREAK,slash,1.80582,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
DOOR,slash,1.01804,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
CLEAR,slash,1.57921,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
STREET,slash,0.75217,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
SELLER,z,0.91362,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
WAITER,slash,0.931175,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
GIRLS,slash,0.73424,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
PURPLE,z,0.81881,HP,1,2020-10-25_13h59.08.707,DelayedExp,2020.1.3,60
