"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"YOUNG","z",2.843245,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CHEESE","slash",1.24644,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",24,1,NA,NA,NA,NA,"SWISS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"DUSK","slash",0.847635,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",25,2,NA,"Identical","SWEET",NA,NA,"22",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"STOMACH","z",1.09255,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",19,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"MAYBE","z",0.770935,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BOARD","z",1.76489,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STRESS","slash",0.88465,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ORANGE","slash",2.114475,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",18,1,NA,NA,NA,NA,"PEEL",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STICKY","z",0.7653,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"LEMON","slash",0.730225,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",26,4,NA,"Related","LION","TIGER",NA,"3","33","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"BELL","slash",1.43429,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MOST","slash",1.949895,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",34,3,NA,NA,NA,NA,"LEAST",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MEAN","slash",0.82273,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",13,4,NA,"Related","BUCK","DOLLAR",NA,"28","11","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"POUND","slash",0.766075,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",5,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"HAPPY","slash",3.035745,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"JAIL","z",1.01505,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",27,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"STRANGE","z",0.930845,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SORRY","slash",0.566795,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",3,2,NA,"Identical","FIVE",NA,NA,"4","37","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"NOSE","slash",1.15431,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",35,3,NA,"Unrelated","ROOF",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"MONEY","slash",3.050455,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",7,1,NA,"Related","SAND","BEACH",NA,"10",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"LAWYER","z",1.179755,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",22,1,NA,NA,NA,NA,"JUDGE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PEPPER","z",0.865105,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",23,4,NA,"Unrelated","SCISSORS",NA,NA,"5,42","30,43","New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"MINOR","slash",0.96609,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",23,2,NA,"Unrelated","BALL",NA,NA,"11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"HATE","slash",3.335875,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"WARM","z",1.518645,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STING","z",0.968,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"VOTE","z",0.8536,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"FOOD","z",0.86996,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ANNOY","",NA,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BUTTER","slash",1.88172,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",9,3,NA,"Unrelated","TREE",NA,"PEANUT","11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Related"
"BELOW","slash",0.74535,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",4,2,NA,"Identical","DEVIL",NA,NA,"10",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"UNCLEAR","z",0.80493,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MUSCLE","slash",0.69696,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",36,4,NA,"Unrelated","CLOWN",NA,NA,"16",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHEEP","z",1.014265,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STORE","z",0.98277,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PIECE","z",0.91875,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DIRT","slash",0.884695,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",42,2,NA,"Identical","STOMACH",NA,NA,"12","64","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"THERE","slash",0.66533,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",11,4,NA,"Unrelated","PIECE",NA,NA,"11","6","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"TIRED","z",0.898465,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BALL ","z",1.283605,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CARD","z",0.744855,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"FIVE","slash",1.03393,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",7,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SHOES","slash",0.79988,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",20,2,NA,"Unrelated","COPY",NA,NA,"17",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SWORD","slash",1.264705,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","SWORD",NA,NA,"38",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"BIKE","z",0.870575,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ARGUE","z",0.80155,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",25,3,"Identical","Identical","ARGUE",NA,NA,"39",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"DEAF","slash",1.488975,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",22,2,NA,"Unrelated","FRONT",NA,NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"CHURCH","z",1.08349,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TRAILER","z",0.817865,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CASTLE","slash",3.41444,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SKIN","slash",1.765595,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"THREAD","z",0.93233,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",14,3,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"UNDER","slash",0.83779,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SICK","z",1.19824,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CANDLE","z",1.2338,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",15,3,NA,"Unrelated","PROBLEM",NA,NA,"6",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"FRIGHT","z",1.31487,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",2,1,NA,NA,NA,NA,"SCARE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MONKEY","z",1.385695,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"GRASS","slash",0.664045,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",42,4,NA,"Unrelated","RENT",NA,NA,"2",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"STORY","slash",1.68156,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",16,1,NA,NA,NA,NA,"TALE",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MIDDLE","z",1.08332,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",16,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"BLACK","z",2.35166,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",39,2,NA,"Unrelated","NINE",NA,NA,"18",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"RIGHT","slash",0.899895,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",36,1,NA,"Unrelated","CELL",NA,NA,"6","45","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHEETS","slash",1.96761,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",40,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"LEAVES","slash",0.8373,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",17,4,NA,"Unrelated","CARD",NA,NA,"9","3","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"CHANGE","z",1.681265,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",11,1,NA,"Related","ATOM","BOMB",NA,"38",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"WORK","z",2.78132,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",19,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SHIP","z",3.784235,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"NECK","z",1.737445,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"DOCTOR","z",0.767515,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"RAIN","slash",0.83322,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"HAIR","z",1.852135,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SPOON","slash",0.74738,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",5,4,NA,"Unrelated","TOCK",NA,"FORK","31","20","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Related"
"YOURS","z",1.437395,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",24,4,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"TEETH","slash",1.96449,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",15,4,NA,"Related","HALF","WHOLE","GUMS","29","4","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"BREAK","slash",1.80582,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"DOOR","slash",1.01804,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",21,2,NA,"Related","TENT","CAMP",NA,"16",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"CLEAR","slash",1.57921,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STREET","slash",0.75217,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SELLER","z",0.91362,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",38,1,"Identical","Related","IMAGINE","DREAM",NA,"18",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Identical"
"WAITER","slash",0.931175,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",4,3,NA,"Related","QUENCH","THIRST",NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"GIRLS","slash",0.73424,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",18,4,NA,"Related","GATE","FENCE",NA,"15","29","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"PURPLE","z",0.81881,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",37,3,NA,NA,NA,NA,"VIOLET",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"THROW","slash",0.764725,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",10,4,"Identical","Related","FORK","SPOON",NA,"10","7","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Identical"
"WRONG","z",1.199365,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"LOVE","z",1.049955,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GLORY","z",1.305055,"HP",1,"2020-10-25_13h59.08.707","DelayedExp","2020.1.3",60,"Studied",3,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
