"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"STUPID",2167.835,"Studied",6,1,NA,"3","Related","LADDER","CLIMB",NA
"STRESS",1083.605,"Studied",12,1,"Identical","41","Unrelated","GLORY",NA,NA
"BABY",932.38,"Studied",7,1,NA,"4","Related","IMPLODE","EXPLODE",NA
"DOCTOR",1066.955,"Studied",8,1,NA,"5","Related","LOAF","BREAD",NA
"GLASSES",1183.83,"Studied",6,2,NA,"6","Unrelated","TIGHT",NA,NA
"SHIRTT",1517.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRESS",968.135,"Studied",2,3,NA,"3","Identical","STREET",NA,NA
"SING",967.925,"Studied",5,3,NA,"2","Related","BIZZARE","STRANGE",NA
"VOLCANO",3100.21,"Studied",6,3,NA,"5","Unrelated","WILD",NA,NA
"LAUGH",1166.745,"Studied",1,3,NA,"1","firstword","firstword",NA,NA
"LOVE",717.1,"Studied",10,3,NA,"11","Identical","STORE",NA,NA
"HATE",682.81,"Studied",8,4,"Identical","13","Related","BALLOT","VOTE",NA
"MARRY",885.39,"Studied",7,4,NA,"12","Unrelated","SHORT",NA,NA
"MILK",3933.86,"Studied",26,1,NA,"6","Identical","SKIN",NA,NA
"",8000.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PENNY",5332.895,"Studied",17,1,"Identical","13","Identical","CLASS",NA,NA
"PENCIL",881.7649999,"Studied",2,2,NA,"2","Identical","TIRED",NA,NA
"PAPER",682.73,"Studied",36,2,NA,"3","Unrelated","BRIDE",NA,NA
"WRITE",733.29,"Studied",19,1,NA,"12","Identical","LIGHT",NA,NA
"COPY",799.7099999,"Studied",1,2,NA,"1","firstword","firstword",NA,NA
"MONARCH",6467.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMS",666.085,"Studied",25,1,NA,"7","Identical","PENNY",NA,NA
"",8000.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POTATO",4650.945,"Studied",12,4,NA,"3","Related","THROAT","NECK",NA
"",7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITCH",4100.785,"Studied",26,2,NA,"8","Unrelated","NOISE",NA,NA
"STICKY",1631.75,"Studied",36,3,NA,"16","Identical","WARM",NA,NA
"BALL",865.9450001,NA,NA,NA,NA,"7","Related","GORILLA","MONKEY",NA
"",8000.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8010.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8010.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",9226.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8005.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7995.865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7998.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLASH",3098.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIGHT",4955.625,"Studied",37,1,"Identical","24","Identical","CELL",NA,NA
"NIGHTS",3298.87,"Studied",1,1,NA,"2","Unrelated","SHEETS",NA,NA
"",8001.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8014.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8126.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
