RecalledWord,StudyPosition,Block
POUND,1,1
DEVIL,2,1
BELOW,3,1
SWEET,4,1
HOTEL,5,1
GHOST,6,1
GEEK,7,1
NOISE,8,1
KISS,9,1
SOUTH,10,1
DOOR,11,1
SWAMP,12,1
CAMP,13,1
THIEF,14,1
JUMP,15,1
FIVE,16,1
PICTURE,17,1
ROAD,18,1
LAND,19,1
DEAF,20,1
STOMACH,21,1
SMILE,22,1
HOOP,23,1
TRASH,24,1
PRESENT,25,1
WORLD,26,1
SORRY,27,1
LEARN,28,1
MINOR,29,1
BRIDE,30,1
DIRT,31,1
DUSK,32,1
TIGHT,33,1
BLACK,34,1
SMOKE,35,1
KILL,36,1
WHEAT,37,1
STARS,38,1
FROG,39,1
TRAIN,40,1
LAKE,41,1
SHOES,42,1
MOTHER,1,2
KIDNAP,2,2
VERB,3,2
CANDLE,4,2
THIRST,5,2
BRANCH,6,2
SOAP,7,2
SPIDER,8,2
LOOK,9,2
MIDDLE,10,2
WILD,11,2
PURPLE,12,2
THREAD,13,2
STATES,14,2
SQUARE,15,2
CHAIN,16,2
NAVY,17,2
FIRST,18,2
CLUE,19,2
READ,20,2
ALIVE,21,2
WAITER,22,2
BALLET,23,2
PAIN,24,2
SUPPER,25,2
NEWS,26,2
HUNGER,27,2
SEEK,28,2
BORROW,29,2
ARGUE,30,2
BUTTER,31,2
TOUR,32,2
TEST,33,2
MOST,34,2
BUCKET,35,2
TENNIS,36,2
WINTER,37,2
SLOW,38,2
TOES,39,2
INHALE,40,2
LESS,41,2
NOSE,42,2
TEETH,1,3
PHONE,2,3
TIGER,3,3
FENCE,4,3
LEMON,5,3
LEAVES,6,3
MEAN,7,3
THERE,8,3
MINUS,9,3
SHORT,10,3
GRASS,11,3
OFFICE,12,3
QUEEN,13,3
MINUTE,14,3
WHOLE,15,3
CANCER,16,3
SHOVE,17,3
ROCK,18,3
ANIMAL,19,3
BEFORE,20,3
SHARK,21,3
MUSCLE,22,3
PEPPER,23,3
FINGER,24,3
SPOON,25,3
YOURS,26,3
CORAL,27,3
UNCLE,28,3
HORSE,29,3
WHERE,30,3
GIRLS,31,3
CLOCK,32,3
CLOSE,33,3
FOUND,34,3
EARLY,35,3
PLANT,36,3
THROW,37,3
QUART,38,3
WORST,39,3
DOLLAR,40,3
BEHIND,41,3
ENTER,42,3
LAWYER,1,4
RIGHT,2,4
SONG,3,4
NUMBER,4,4
FRIGHT,5,4
ORANGE,6,4
FLOWER,7,4
GLORY,8,4
GROSS,9,4
DREAM,10,4
STORY,11,4
CHAIR,12,4
DAGGER,13,4
YELLOW,14,4
SHEETS,15,4
BIRD,16,4
FISH,17,4
CHEESE,18,4
STREAM,19,4
JAIL,20,4
CHANGE,21,4
PICKLE,22,4
EGGS,23,4
HORN,24,4
BEACH,25,4
LENGTH,26,4
CLAM,27,4
TWELVE,28,4
STAIRS,29,4
CRACKER,30,4
WEST,31,4
WORK,32,4
MONEY,33,4
NEPHEW,34,4
SELLER,35,4
GUITAR,36,4
NICKEL,37,4
BOMB,38,4
OUTTAKE,39,4
STOP,40,4
WEIGHT,41,4
SMOOTH,42,4
