"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"NEPHEW",5809.225,"Studied",4,2,NA,"6","Identical","CHANGE",NA,NA
"SOUTH",1780.255,"Studied",26,3,NA,"4","Identical","GHOST",NA,NA
"BLOOD",1347.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HELL",1947.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OUTTAKE",4976.62,"Studied",14,2,NA,"10","Unrelated","PENNY",NA,NA
"NAVY",2513.975,"Studied",27,4,NA,"2","Identical","BUTTER",NA,NA
"PURPLE",1880.955,"Studied",41,4,NA,"1","firstword","firstword",NA,NA
"YELLOW",1298.185,"Studied",12,2,"Identical","8","Identical","YELLOW",NA,NA
"",7990.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUND",3237.84,NA,NA,NA,"Related",NA,NA,NA,NA,NA
"LAKE",1314.67,"Studied",3,3,NA,"7","Related","ABOVE","BELOW",NA
"SEEK",2962.9,"Studied",1,4,NA,"12","Unrelated","DRESS",NA,NA
"NEAR",6075.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARK",1663.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEEL",2750.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRD",1131.575,"Studied",3,2,NA,"3","Related","BUYER","SELLER",NA
"",7993.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LION",1514.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIGER",1259.97,"Studied",27,1,NA,"9","Identical","QUART",NA,NA
"",7990.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MILK",2464.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYCLE",7991.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HORN",2712.3,"Studied",7,2,NA,"9","Unrelated","NIGHTS",NA,NA
"",7990.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTH",5709.44,"Studied",26,3,NA,"4","Identical","GHOST",NA,NA
"WEST",2646.275,"Studied",39,2,NA,"15","Unrelated","DOCTOR",NA,"EAST"
"",7991.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KING",6591.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIGHT",1763.66,"Studied",5,2,NA,"16","Unrelated","CLIMB",NA,NA
"",7991.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7992.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7997.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7992.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8007.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7997.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",5393.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
