participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,HEAD ,1731.97,firstword,firstword,,1,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,BIKE ,1200.515,TWELVE,Unrelated,48.74,2,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,KNIT,984.32,CLASS,Identical,49.68000017,3,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,CELL,981.3350001,ROSE,Identical,50.88500003,4,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,GRACE,1083.61,SELLER,Unrelated,49.67999994,5,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,GRAVE,1566.64,LAWYER,Unrelated,48.80499979,6,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,TOWN,865.6650002,BREAD,Identical,49.68500021,7,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,DOCTOR,1834.555,NUMBER,Unrelated,50.0599998,8,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,REPEAT,5083.51,CHAIR,Unrelated,49.73000009,9,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,PENNY,1098.66,TIMBER,Related,49.95999997,10,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,BREAD,1150.29,BLOUSE,Related,48.51999995,11,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,CLIMB,1483.65,CAVITY,Related,51.79499998,12,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,MILK,2981.965,SKULL,Related,50.16500014,13,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,STUPID,1584.15,BABY,Identical,51.32499989,14,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,CLASS,4218.025,SMOOTH,Unrelated,49.75499981,15,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,LIGHT,1131.895,SELF,Identical,49.83000015,16,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,WOOD,3946.395,STRESS,Identical,51.41999992,17,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,BABY,899.6899999,BENEATH,Related,50.16999994,18,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,SHIRT,6599.755,STING,Identical,50.1600001,19,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,SPOTS ,2231.33,GRAFT,Related,50.2950002,20,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.895,ESSAY,Related,49.86999999,21,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.725,DAGGER,Unrelated,49.85000007,22,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,NIGHTS,6316.445,PROPER,Identical,49.7150002,23,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,GROUND,5740.505,WORK,Unrelated,50.75499997,24,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,FEEL,2334.035,POLICY,Related,50.34999992,25,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.685,FRIGHT,Unrelated,36.2600002,26,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,1722.535,LAMB,Related,38.39499992,27,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,2189.045,TOUCH,Identical,50.27000001,28,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,2703.6,SHAME,Related,50.12000003,29,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,1121.605,PEDAL,Related,45.56999984,30,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,318.9749999,MOVE,Identical,46.43999995,31,1
JN,1,2020-09-22_15h00.18.396,S2.4ConstantTotalFinal,2020.1.3,60,XXXXX,353.8250001,SPOTS,Identical,37.65000007,32,1
