"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"HAPPY",1168,"firstword","firstword",NA,1,1,41,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"MUSIC",986,"WILD","Unrelated",48,2,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SHIP",2889,"CAMEL","Related",50,3,1,1,"Studied",NA,"DESERT"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SWORD",1702,"HEAR","Identical",50,4,1,2,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SING",884,"PICK","Related",50,5,1,3,"Studied",NA,"CHOOSE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"PROBLEM",1720,"MOST","Unrelated",50,6,1,4,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CLEAR",969,"SALAD","Related",51,7,1,34,"Studied",NA,"LETTUCE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"TREE",969,"HAIR","Identical",50,8,1,27,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CHOOSE",7880,"MIGHT","Related",50,9,1,30,"Studied",NA,"MAYBE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"TEST","Unrelated",50,10,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"SLOW","Unrelated",50,11,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"LOSE","Identical",51,12,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"MONARCH",6930,"STORE","Identical",50,13,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"PAIN","Unrelated",50,14,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SMELL",2721,"ZERO","Related",49,15,1,25,"Studied",NA,"NONE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"BREAK",1068,"BRANCH","Unrelated",51,16,1,26,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"TREE",5844,"CHIME","Related",50,17,1,27,"Studied",NA,"BELL"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"LOVE",6044,"VIRUS","Related",50,18,1,5,"Studied",NA,"SICK"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"GOURMET","Related",50,19,1,NA,NA,NA,"FOOD"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"NAVY","Unrelated",51,20,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"GAME",2204,"SQUARE","Unrelated",50,21,1,10,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"LOSE",1352,"BALLET","Unrelated",49,22,1,11,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"THREAD","Unrelated",51,23,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7997,"VOLCANO","Identical",50,24,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"YEAR","Identical",51,25,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"FLASH",6177,"MIDDLE","Unrelated",50,26,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7997,"SOUR","Identical",50,27,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SWORD",6278,"MOTHER","Unrelated",50,28,1,2,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"BOARD","Identical",50,29,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"BORROW","Unrelated",50,30,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"SOAP","Unrelated",50,31,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"ROOF","Identical",49,32,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"CHAPEL","Related",50,33,1,NA,NA,NA,"CHURCH"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"JACKE",7998,"TOES","Unrelated",50,34,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"JACKET",1136,"WAND","Related",50,35,1,12,"Studied",NA,"MAGIC"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"DRESS",2119,"STRANGE","Identical",49,36,1,16,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"STORE",1103,"NEWS","Unrelated",49,37,1,8,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"HAIR",2054,"WARM","Identical",50,38,1,9,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"TAKE",3790,"TAKE","Identical",51,39,1,7,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"COLLECT","Identical",50,40,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"COLLECT",1619,"FIND","Identical",50,41,1,17,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"ALIVE","Unrelated",51,42,1,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"YOUNG",1186,"firstword","firstword",NA,1,2,41,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"DISAGREE",1603,"PART","Related",50,2,2,42,"Studied",NA,"PIECE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"POTATO",1586,"DISLIKE","Related",50,3,2,20,"Studied",NA,"HATE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CARD",969,"WRONG","Identical",50,4,2,19,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"MARRY",968,"SLIDE","Identical",50,5,2,22,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"VOTE",767,"AIRPORT","Related",50,6,2,21,"Studied",NA,"PLANE "
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"DRUGS",1286,"MINUTE","Unrelated",50,7,2,25,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"WRONG",1051,"SPOON","Unrelated",49,8,2,26,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"HATE",702,"ADULT","Related",51,9,2,27,"Studied",NA,"CHILD"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SPIT",835,"DEATH","Identical",50,10,2,24,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SILVER",1570,"ROCK","Unrelated",50,11,2,29,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"EXACT",1353,"ZEBRA","Related",50,12,2,30,"Studied",NA,"STRIPE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"THIN",884,"SKETCH","Related",50,13,2,4,"Studied",NA,"DRAW"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SCISSORS",1870,"ANIMAL","Unrelated",50,14,2,7,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CLOWN",1619,"SHERIFF","Identical",49,15,2,15,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SCISSORS",3656,"INTENT","Related",50,16,2,7,"Studied",NA,"PURPOSE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"DRAW",4007,"SAME","Identical",49,17,2,12,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SHERIFF",2355,"TICK","Related",50,18,2,11,"Studied","Identical","TOCK"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SHALLOW",3323,"TRACTOR","Related",50,19,2,5,"Studied",NA,"TRAILER"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"QUIET",1619,"TOOL","Identical",50,20,2,2,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"BUSH",984,"SEVERAL","Related",51,21,2,39,"Studied",NA,"MANY"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"SLIDE",1085,"RENT","Identical",50,22,2,38,"Studied","Identical",NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"THANKS","Identical",50,23,2,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"TOCK",3239,"BEHIND","Unrelated",50,24,2,1,"Studied",NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CLOWN",2839,"PARDON","Related",51,25,2,15,"Studied",NA,"EXCUSE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"MEAN","Unrelated",50,26,2,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"LEAVES","Unrelated",50,27,2,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7997,"BLADE","Related",50,28,2,NA,NA,NA,"KNIFE"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"TEETH","Unrelated",50,29,2,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"THROAT","Related",50,30,2,NA,NA,NA,"NECK"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7998,"HAIL","Related",49,31,2,NA,NA,NA,"RAIN"
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999,"GIRLS","Unrelated",50,32,2,NA,NA,NA,NA
"LG",1,"2020-08-24_16h22.35.705","S2.2ConstantTotalFinal","2020.1.3",60,"CHILD",5226,"POSTAGE","Related",50,33,2,14,"Studied",NA,"STAMP"
