DelayedWord,DelayedRT
CARRY,8000.285
VOLCANO,7999.995
OVEN,8051.89
FIRE,8017.32
SOFT,7998.5
SLEEP,7999.135
HAPPY,8001.875
WARM,8000.39
SMALL,8000.715
LARGE,8000.34
GLASSES,8000.11
TAKE,8001.185
NINE,8004.41
CHURCH,7998.74
FLASH,5101.25
SMART,5448.225
TRIBE,8000.495
,8002.59
PAPER,4783.6
PENCIL,2018.205
SILK,2700.16
,7999.655
JACKET,2899.205
,8002.775
STREET,8003.065
,7991.815
,8003.13
,7998.88
,7998.81
PILE,7999.79
CHAIR,7997.92
SNACK,8000.35
,8000.86
,8001.16
,8000.015
,8000.895
WRECK,3631.295
,8000.06
,8001.69
,8000.945
,8002.665
,8000.525
,8000.63
,8000.685
,8000.49
,8001.77
,8000.69
,8000.56
,8001.325
HEAT,8000.12
,8000.115
,8000.765
,8002.45
,8001.72
,8000.76
,8000.555
,8002.54
MEAT,5822.285
,8000.335
,7998.56
,8017.065
,7999.945
,8000.64
,7999.715
,8000.53
,8000.52
,8001.085
,8001.145
,9769.61
,7999.905
,8001.165
,8000.505
,8000.23
,2017
