RecalledWord,StudyPosition,Block
CARRY,1,1
GLASSES,2,1
ALLOW,3,1
SNEEZE,4,1
SLEEP,5,1
CAKE,6,1
PAPER,7,1
BALL ,8,1
SOFT,9,1
NINE,10,1
LARGE,11,1
WANT,12,1
LETTER,13,1
UNCLEAR,14,1
MAID,15,1
TIRED,16,1
FIRE,17,1
MAD,18,1
OVEN,19,1
SMART,20,1
SMALL,21,1
FINISH,22,1
CASTLE,23,1
SILK,24,1
HELLO,25,1
MINIMUM,26,1
ENGLISH,27,1
FRONT,28,1
SPICE,29,1
JEANS,30,1
MONKEY,31,1
ITCH,32,1
EFFECT,33,1
PRIDE,34,1
WATER,35,1
ONCE,36,1
PLAN,37,1
BOSS,38,1
BANK,39,1
PENCIL,40,1
COPY,41,1
SURE,42,1
VOLCANO,1,2
STRANGE,2,2
SING,3,2
TAKE,4,2
HEAR,5,2
COLLECT,6,2
STICKY,7,2
YEAR,8,2
CHURCH,9,2
JACKET,10,2
LOVE,11,2
CLEAR,12,2
SMELL,13,2
WARM,14,2
HAPPY,15,2
MUSIC ,16,2
BELL,17,2
STREET,18,2
SWORD,19,2
DESERT,20,2
LAUGH,21,2
SOUR,22,2
LETTUCE,23,2
HAIR,24,2
DRESS,25,2
TREE,26,2
STORE,27,2
FOOD,28,2
LOSE,29,2
TALK,30,2
ROOF,31,2
BREAK,32,2
BOARD,33,2
CHOOSE,34,2
SHIP,35,2
NONE,36,2
PROBLEM,37,2
MAGIC,38,2
FIND,39,2
MAYBE,40,2
SICK,41,2
GAME,42,2
SILVER,1,3
SPIT,2,3
RENT,3,3
MARRY,4,3
WRONG,5,3
SCISSORS,6,3
YOUNG,7,3
HATE,8,3
PURPOSE,9,3
CARD,10,3
POTATO,11,3
CHILD,12,3
CLOWN,13,3
NECK,14,3
THIN,15,3
PIECE,16,3
SAME,17,3
QUIET,18,3
BUSH,19,3
THANKS,20,3
TOCK,21,3
DEATH,22,3
EXACT,23,3
SLIDE,24,3
SHALLOW,25,3
REAL,26,3
VOTE,27,3
SHERIFF,28,3
RAIN,29,3
EXCUSE,30,3
DRUGS,31,3
TRAILER,32,3
ANNOY,33,3
DISAGREE,34,3
TOOL,35,3
PACKAGE,36,3
STRIPE,37,3
PLANE ,38,3
STAMP,39,3
KNIFE,40,3
MANY,41,3
DRAW,42,3
RULE,1,4
SHEEP,2,4
FAKE,3,4
SPOTS,4,4
TOWN,5,4
KNIT,6,4
HEAD,7,4
STRESS,8,4
PENNY,9,4
GRAND,10,4
PROPER,11,4
STING,12,4
BABY,13,4
BRAIN,14,4
ARMS,15,4
BIKE,16,4
MOVE,17,4
REPEAT,18,4
GUILT,19,4
MATH,20,4
SKIN,21,4
WOOD,22,4
UNDER,23,4
STEAL,24,4
SUBJECT,25,4
TOOTH,26,4
MILK,27,4
CLASS,28,4
WRITE,29,4
SELF,30,4
EXPLODE,31,4
DOCTOR,32,4
CELL,33,4
SHIRT,34,4
LIGHT,35,4
TOUCH,36,4
BREAD,37,4
NIGHTS,38,4
CLIMB,39,4
STUPID,40,4
ROSE,41,4
GRAVE,42,4
