participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,YELLOW,1396.815,firstword,firstword,,1,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,ORANGE,1661.685,WEST,Identical,58.46999993,2,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,EGGS,1332.015,GROSS,Identical,36.02500004,3,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,TWELVE,2533.445,PICKLE,Identical,49.95499994,4,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,BEACH,1200.05,INMATE,Related,49.19000005,5,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,CHAIR,965.025,FAKE,Unrelated,49.55999996,6,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,FRIGHT,1194.3,CLAM,Identical,41.48499994,7,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,CHEESE,1299.065,GUILT,Unrelated,49.92999998,8,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,CRACKER,1761.01,DIGIT,Related,50.93500006,9,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,DREAM,4249.95,LENGTH,Identical,50.11499999,10,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,BEACH,1191.625,WRITE,Unrelated,49.51499996,11,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,PAIR,3416.835,STRESS,Unrelated,48.62000002,12,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,RIGHT,5041.205,GRAND,Unrelated,49.15999994,13,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,CRICKET,2319.185,LAWYER,Identical,50.605,14,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,SONG,3648.285,BIRD,Identical,40.91500002,15,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,HORN,1199.13,WEIGHT,Identical,49.51499996,16,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,BIRD,2066.425,GUITAR,Identical,50.33999996,17,1
NG,1,2020-10-22_13h24.21.496,S1.4ConstantTotalFinal,2020.1.3,60,BOMB,1534.11,MONEY,Identical,50.00000005,18,1
