RecalledWord,StudyPosition,Block
SOUTH,1,1
SORRY,2,1
BELOW,3,1
MINOR,4,1
DOOR,5,1
NOISE,6,1
DUSK,7,1
LAND,8,1
ROAD,9,1
TRASH,10,1
WHEAT,11,1
PRESENT,12,1
GHOST,13,1
FROG,14,1
HOTEL,15,1
GEEK,16,1
SHOES,17,1
KILL,18,1
FIVE,19,1
PICTURE,20,1
SWEET,21,1
CAMP,22,1
POUND,23,1
LAKE,24,1
SMOKE,25,1
BRIDE,26,1
STOMACH,27,1
KISS,28,1
LEARN,29,1
DEVIL,30,1
WORLD,31,1
JUMP,32,1
BLACK,33,1
HOOP,34,1
SWAMP,35,1
SMILE,36,1
TIGHT,37,1
DIRT,38,1
TRAIN,39,1
DEAF,40,1
THIEF,41,1
STARS,42,1
SEEK,1,2
BALLET,2,2
LESS,3,2
TEST,4,2
ALIVE,5,2
THIRST,6,2
PAIN,7,2
NOSE,8,2
CHAIN,9,2
TENNIS,10,2
SQUARE,11,2
SOAP,12,2
BUTTER,13,2
SUPPER,14,2
ARGUE,15,2
TOES,16,2
BUCKET,17,2
BRANCH,18,2
LOOK,19,2
VERB,20,2
PURPLE,21,2
FIRST,22,2
NEWS,23,2
INHALE,24,2
READ,25,2
MIDDLE,26,2
HUNGER,27,2
SLOW,28,2
WINTER,29,2
BORROW,30,2
WILD,31,2
KIDNAP,32,2
TOUR,33,2
MOTHER,34,2
THREAD,35,2
NAVY,36,2
CANDLE,37,2
WAITER,38,2
MOST,39,2
STATES,40,2
SPIDER,41,2
CLUE,42,2
WHOLE,1,3
TIGER,2,3
MINUS,3,3
MINUTE,4,3
QUEEN,5,3
LEMON,6,3
GIRLS,7,3
THERE,8,3
PLANT,9,3
BEHIND,10,3
ENTER,11,3
PEPPER,12,3
BEFORE,13,3
GRASS,14,3
CORAL,15,3
FINGER,16,3
WHERE,17,3
EARLY,18,3
YOURS,19,3
CANCER,20,3
UNCLE,21,3
CLOSE,22,3
CLOCK,23,3
TEETH,24,3
FENCE,25,3
SHORT,26,3
SHOVE,27,3
SPOON,28,3
WORST,29,3
QUART,30,3
OFFICE,31,3
PHONE,32,3
MUSCLE,33,3
THROW,34,3
HORSE,35,3
ROCK,36,3
SHARK,37,3
FOUND,38,3
MEAN,39,3
DOLLAR,40,3
LEAVES,41,3
ANIMAL,42,3
FLOWER,1,4
CHEESE,2,4
WEIGHT,3,4
DREAM,4,4
SMOOTH,5,4
FRIGHT,6,4
GUITAR,7,4
ORANGE,8,4
PICKLE,9,4
BEACH,10,4
LAWYER,11,4
MONEY,12,4
BIRD,13,4
STAIRS,14,4
SONG,15,4
NICKEL,16,4
GROSS,17,4
RIGHT,18,4
SHEETS,19,4
OUTTAKE,20,4
CHAIR,21,4
JAIL,22,4
EGGS,23,4
STOP,24,4
CLAM,25,4
STORY,26,4
CHANGE,27,4
WORK,28,4
TWELVE,29,4
NEPHEW,30,4
YELLOW,31,4
GLORY,32,4
SELLER,33,4
LENGTH,34,4
DAGGER,35,4
STREAM,36,4
HORN,37,4
BOMB,38,4
NUMBER,39,4
CRACKER,40,4
FISH,41,4
WEST,42,4
