participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,STORY,2201.455,firstword,firstword,,1,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,LAWYER,3993.67,YELLOW,Identical,49.11500006,2,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,WORK,1300.955,BACON,Related,50.04999996,3,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,BEACH,3035.575,SWISS,Related,52.31000006,4,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,YELLOW,4888.035,NEPHEW,Identical,49.93999994,5,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,TWELVE,3728.76,WRITE,Unrelated,51.00000009,6,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,ORANGE,2768.74,DREAM,Identical,49.92000002,7,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,SELLER,3102.96,ALTER,Related,49.92000002,8,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,FISH,4063.42,CLOAK,Related,48.85499994,9,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,WEIGHT,2068.575,KNIT,Unrelated,50.38500007,10,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,HORM,1235.09,WIDTH,Related,50.63000007,11,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,HORN,1651.545,SMOOTH,Identical,49.63999998,12,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,DREAM,2285.63,SHEETS,Identical,49.39499998,13,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,NEPHEW,2501.92,CHAIR,Identical,50.11499999,14,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,STREAM,2119.955,STREAM,Identical,49.92999998,15,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,SMOOTH,2510.365,HALT,Related,49.97000005,16,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,STAIR,2269.08,STEPS,Related,50.24000001,17,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,STAIRS,2276.765,FAKE,Unrelated,48.88999998,18,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,PICKLE,3771.12,INTAKE,Related,48.87499998,19,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,NICKLE,2419.115,FLOWER,Identical,51.74499995,20,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.65,ROSE,Unrelated,49.85499999,21,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.395,GUITAR,Identical,49.4149999,22,1
OC,1,2020-10-26_13h48.36.605,S1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.305,TOOTH,Unrelated,51.34500004,23,1
