"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"HOUND",2317.27,NA,NA,NA,NA,"5","Related","FROWN","SMILE",NA
"SWAMP",2351.42,"Studied",38,1,NA,"3","Unrelated","PAPER",NA,NA
"DEVIL",2884.06,"Studied",29,1,NA,"1","firstword","firstword",NA,NA
"KIDNAP",3133.145,"Studied",15,2,NA,"5","Related","BOOK","READ",NA
"KILL",1632.48,"Studied",42,1,NA,"2","Related","NERD","GEEK",NA
"LOOK",2383.11,"Studied",5,2,NA,"10","Identical","SUPPER",NA,NA
"",8000.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWAMP",1784.445,"Studied",38,1,NA,"3","Unrelated","PAPER",NA,NA
"",8000.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANGE",2200.505,"Studied",6,4,"Identical","6","Identical","CHANGE",NA,NA
"CLUE",1615.995,"Studied",10,2,NA,"3,15","Identical","CHAIN",NA,NA
"HUNGER",3600.24,"Studied",12,2,NA,"4","Identical","SQUARE",NA,NA
"LESS",1649.815,"Studied",11,2,NA,"2","Related","ARMY","NAVY",NA
"",8000.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACK",7550.735,"Studied",40,1,NA,"13","Unrelated","LETTER",NA,NA
"TIGHT",4266.03,"Studied",34,1,NA,"7","Related","TENT","CAMP",NA
"",8000.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7866.665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",349.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",338.5800001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",299.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",167.2049999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",233.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",99.50999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",32.06500004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",502.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",97.06000006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",149.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",134.3299999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",51.34500004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",84.58000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",500.1450001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",87.88999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.80999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.72500009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.42499997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINUTE",1982.955,"Studied",5,3,NA,"13","Unrelated","KNIFE",NA,NA
"MINUS",3183.49,"Studied",21,3,NA,"14","Identical","MUSCLE",NA,NA
"SEEK",3549.52,"Studied",27,2,NA,"19","Identical","WILD",NA,NA
"LAWYER",4899.73,"Studied",26,4,NA,"10","Identical","FRIGHT",NA,NA
"",8000.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3404.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",349.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.09999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.40999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",74.08000005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1566.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.52999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.21000008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",83.37000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.51000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",73.68999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAIN",1601.045,"Studied",38,2,NA,"18","Related","LEND","BORROW",NA
"",867.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",249.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",500.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.86499994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.18500005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.63000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.18500005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.74500001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",65.99000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.32999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.24999996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.21999992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.61999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.12500001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.77999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.40999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.82499999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",65.94999996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",65.67500008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.40499993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.34999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",65.77499991,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.15500001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOK",2132.915,NA,NA,NA,"Related","25","Unrelated","MUSIC",NA,NA
"",400.9700001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",149.9249999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.23999996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",68.02999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",83.59499997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.10500002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.17999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.31999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.85499998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.47999992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.92499993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",67.25000008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",68.10499995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.28000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
