RecalledWord,StudyPosition,Block
DEAF,1,1
PICTURE,2,1
BELOW,3,1
LAND,4,1
DUSK,5,1
LAKE,6,1
FROG,7,1
DIRT,8,1
BRIDE,9,1
MINOR,10,1
STARS,11,1
TRAIN,12,1
SHOES,13,1
POUND,14,1
PRESENT,15,1
HOOP,16,1
GHOST,17,1
SORRY,18,1
SOUTH,19,1
HOTEL,20,1
DOOR,21,1
ROAD,22,1
KISS,23,1
LEARN,24,1
JUMP,25,1
CAMP,26,1
SMOKE,27,1
SWEET,28,1
DEVIL,29,1
WHEAT,30,1
TRASH,31,1
GEEK,32,1
NOISE,33,1
TIGHT,34,1
FIVE,35,1
THIEF,36,1
WORLD,37,1
SWAMP,38,1
STOMACH,39,1
BLACK,40,1
SMILE,41,1
KILL,42,1
SPIDER,1,2
VERB,2,2
THIRST,3,2
BUTTER,4,2
LOOK,5,2
CHAIN,6,2
FIRST,7,2
ARGUE,8,2
ALIVE,9,2
CLUE,10,2
LESS,11,2
HUNGER,12,2
MOTHER,13,2
CANDLE,14,2
KIDNAP,15,2
NEWS,16,2
BALLET,17,2
WILD,18,2
MIDDLE,19,2
WAITER,20,2
NOSE,21,2
SOAP,22,2
BUCKET,23,2
NAVY,24,2
TEST,25,2
THREAD,26,2
SEEK,27,2
MOST,28,2
BORROW,29,2
TOES,30,2
STATES,31,2
PURPLE,32,2
TENNIS,33,2
READ,34,2
TOUR,35,2
BRANCH,36,2
SUPPER,37,2
PAIN,38,2
INHALE,39,2
SLOW,40,2
SQUARE,41,2
WINTER,42,2
OFFICE,1,3
BEFORE,2,3
MUSCLE,3,3
SPOON,4,3
MINUTE,5,3
MEAN,6,3
UNCLE,7,3
TIGER,8,3
TEETH,9,3
SHORT,10,3
WHERE,11,3
SHARK,12,3
EARLY,13,3
CORAL,14,3
WHOLE,15,3
CANCER,16,3
LEAVES,17,3
FINGER,18,3
GIRLS,19,3
QUEEN,20,3
MINUS,21,3
THERE,22,3
SHOVE,23,3
FENCE,24,3
BEHIND,25,3
HORSE,26,3
PLANT,27,3
CLOCK,28,3
LEMON,29,3
THROW,30,3
FOUND,31,3
PEPPER,32,3
ANIMAL,33,3
QUART,34,3
YOURS,35,3
ENTER,36,3
GRASS,37,3
CLOSE,38,3
PHONE,39,3
DOLLAR,40,3
ROCK,41,3
WORST,42,3
EGGS,1,4
OUTTAKE,2,4
NICKEL,3,4
SELLER,4,4
FISH,5,4
CHANGE,6,4
STREAM,7,4
SONG,8,4
HORN,9,4
FLOWER,10,4
STORY,11,4
STOP,12,4
MONEY,13,4
PICKLE,14,4
STAIRS,15,4
CHEESE,16,4
CRACKER,17,4
BIRD,18,4
WEST,19,4
JAIL,20,4
DAGGER,21,4
TWELVE,22,4
ORANGE,23,4
CLAM,24,4
CHAIR,25,4
LAWYER,26,4
WEIGHT,27,4
WORK,28,4
NUMBER,29,4
DREAM,30,4
SMOOTH,31,4
NEPHEW,32,4
RIGHT,33,4
SHEETS,34,4
LENGTH,35,4
YELLOW,36,4
GROSS,37,4
BOMB,38,4
GUITAR,39,4
BEACH,40,4
FRIGHT,41,4
GLORY,42,4
