"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"QUEEN",3221.615,"Studied",16,2,NA,"1","firstword","firstword",NA,NA
"MOTHER",1833.11,"Studied",35,1,NA,"20","Unrelated","SING",NA,NA
"PILE",1288.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TENNIS",2032.98,"Studied",10,1,NA,"8","Unrelated","MUSIC",NA,NA
"SLOW",1286.6,"Studied",13,1,NA,"5","Identical","BALLET",NA,NA
"STATES",1233.17,"Studied",26,1,NA,"9","Identical","BUCKET",NA,NA
"NOSE",1038.17,"Studied",17,1,NA,"25","Identical","KIDNAP",NA,NA
"SEEK",1816.67,"Studied",7,1,NA,"12","Related","BOOK","READ",NA
"SPIDER",1157.09,"Studied",2,1,NA,"22","Identical","INHALE",NA,NA
"WARM",1400.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEART",1282.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEPHEW",3599.395,"Studied",1,3,NA,"11","Related","YUCK","GROSS",NA
"SLOW",3283.67,"Studied",13,1,NA,"5","Identical","BALLET",NA,NA
"SPORTS",6216.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWEET",2849.575,"Studied",38,4,NA,"17","Unrelated","PAPER",NA,"HONEY"
"ALIVE",5283.24,"Studied",21,1,NA,"6","Identical","MOST",NA,NA
"TEST",3616.975,"Studied",9,1,"Identical","19","Identical","ARGUE",NA,NA
"TREAT",1066.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWS",4366.635,"Studied",32,1,NA,"14","Related","ZEST","SOAP",NA
"",1083.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",556.5299999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELEPHANT",2669.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LION",1083.285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIGER",2732.835,"Studied",32,2,"Identical","12","Related","AHEAD","BEHIND",NA
"DOG",667.1099999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT",716.3249999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATHER",1233.775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PURPLE",4316.82,"Studied",19,1,NA,"13","Identical","CLUE",NA,NA
"YELLOW",1199.84,"Studied",27,3,NA,"7","Unrelated","SPOTS",NA,NA
"ORANGE",1616.92,"Studied",10,3,NA,"25","Unrelated","STING",NA,NA
"GREEN",1050.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUARE",3766.955,"Studied",28,1,"Identical","29","Identical","BORROW",NA,NA
"CIRCLE",1366.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARGUE",1416.575,"Studied",16,1,"Identical",NA,NA,NA,NA,NA
"FIGHT",913.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPE",949.985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOME",1233.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOUSE",900.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3850.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALL",3267.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASKET",1750.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOTE",3283.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOTEL",1600.025,"Studied",26,4,NA,"11","Related","CAMERA","PICTURE",NA
"TRIGGER",5533.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COUNTRY",3650.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
