"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"STAIRS","slash",1.90039,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",39,3,NA,"Related","ALTER","CHANGE","STEPS","38",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"ANNOY","z",0.84746,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"VERB","slash",0.88536,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",3,1,NA,"Unrelated","STREET",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"BALLET","slash",0.654805,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",24,1,"Identical","Unrelated","JACKET",NA,NA,"28",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"REPEAT","slash",0.74792,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"THIEF","slash",0.6754,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",9,4,NA,NA,NA,NA,"CROOK",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"RIGHT","slash",0.747605,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",17,3,"Identical","Unrelated","GRAND",NA,NA,"32",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"TALK","slash",0.76468,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,"62","Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SAME","z",0.75529,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PEPPER","slash",0.556355,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",19,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ONCE","z",0.637335,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SPOTS","slash",0.51545,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TOES","z",0.86557,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",23,1,NA,"Unrelated","GAME",NA,NA,"16",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"RAIN","z",0.650785,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CHURCH","slash",0.576855,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SILK","z",0.71548,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"GEEK","slash",0.59878,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",20,4,NA,"Related","CROOK","THIEF",NA,"8",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"ALIVE","slash",0.564965,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",21,1,NA,"Identical","MOST",NA,NA,"6","17","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"GIRLS","slash",0.54051,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",20,2,NA,"Unrelated","SAME",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"PROBLEM","z",0.6054,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WATER","slash",0.69206,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PRESENT","z",0.51596,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",5,4,NA,"Related","DAWN","DUSK",NA,"5",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"CLOCK","slash",0.531635,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",9,2,NA,"Identical","THROW",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"HORN","slash",0.52646,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",37,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"STEAL","z",0.558275,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BABY","z",0.64932,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PURPOSE","z",0.626765,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"HAIR","slash",0.66518,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"MIDDLE","slash",0.84788,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",8,1,NA,"Related","WICK","CANDLE",NA,"27",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"PHONE","slash",0.564665,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",12,2,NA,"Related","OPEN","CLOSE",NA,"18",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"JACKET","z",0.507965,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PLANE ","slash",0.584895,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"MINUS","slash",1.007815,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",26,2,NA,NA,NA,NA,"PLUS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"EGGS","slash",0.59846,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",31,3,NA,"Identical","CHAIR",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"LAWYER","slash",1.11926,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",11,3,NA,"Related","CHORE","WORK",NA,"20",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"SMILE","slash",0.68915,"RF",1,"2020-10-03_16h05.27.327","DelayedExp","2020.1.3",60,"Studied",25,4,NA,"Identical","ROAD",NA,NA,"10",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
