RecalledWord,StudyPosition,Block
NAVY,1,1
SPIDER,2,1
VERB,3,1
INHALE,4,1
SOAP,5,1
KIDNAP,6,1
SEEK,7,1
MIDDLE,8,1
TEST,9,1
TENNIS,10,1
BRANCH,11,1
BUTTER,12,1
SLOW,13,1
CLUE,14,1
BUCKET,15,1
ARGUE,16,1
NOSE,17,1
WAITER,18,1
PURPLE,19,1
CANDLE,20,1
ALIVE,21,1
MOST,22,1
TOES,23,1
BALLET,24,1
WINTER,25,1
STATES,26,1
BORROW,27,1
SQUARE,28,1
PAIN,29,1
LOOK,30,1
LESS,31,1
NEWS,32,1
FIRST,33,1
THIRST,34,1
MOTHER,35,1
TOUR,36,1
THREAD,37,1
HUNGER,38,1
READ,39,1
SUPPER,40,1
CHAIN,41,1
WILD,42,1
LEMON,1,2
SHORT,2,2
THERE,3,2
MUSCLE,4,2
WHERE,5,2
WORST,6,2
SHOVE,7,2
YOURS,8,2
CLOCK,9,2
GRASS,10,2
FINGER,11,2
PHONE,12,2
ENTER,13,2
SPOON,14,2
CLOSE,15,2
QUEEN,16,2
BEHIND,17,2
PLANT,18,2
PEPPER,19,2
GIRLS,20,2
THROW,21,2
MINUTE,22,2
ANIMAL,23,2
ROCK,24,2
MEAN,25,2
MINUS,26,2
CANCER,27,2
LEAVES,28,2
CORAL,29,2
FENCE,30,2
DOLLAR,31,2
TIGER,32,2
HORSE,33,2
BEFORE,34,2
WHOLE,35,2
OFFICE,36,2
SHARK,37,2
TEETH,38,2
FOUND,39,2
EARLY,40,2
UNCLE,41,2
QUART,42,2
NEPHEW,1,3
FRIGHT,2,3
SELLER,3,3
CRACKER,4,3
WEIGHT,5,3
BIRD,6,3
STORY,7,3
OUTTAKE,8,3
NICKEL,9,3
ORANGE,10,3
LAWYER,11,3
MONEY,12,3
TWELVE,13,3
DREAM,14,3
SHEETS,15,3
CHEESE,16,3
RIGHT,17,3
WEST,18,3
NUMBER,19,3
JAIL,20,3
CLAM,21,3
GLORY,22,3
STREAM,23,3
DAGGER,24,3
SMOOTH,25,3
CHAIR,26,3
YELLOW,27,3
BOMB,28,3
STOP,29,3
GROSS,30,3
EGGS,31,3
LENGTH,32,3
FLOWER,33,3
CHANGE,34,3
GUITAR,35,3
SONG,36,3
HORN,37,3
PICKLE,38,3
STAIRS,39,3
BEACH,40,3
WORK,41,3
FISH,42,3
LAND,1,4
DEVIL,2,4
LEARN,3,4
TIGHT,4,4
PRESENT,5,4
TRAIN,6,4
MINOR,7,4
KILL,8,4
THIEF,9,4
FIVE,10,4
SORRY,11,4
SMOKE,12,4
DEAF,13,4
BLACK,14,4
CAMP,15,4
FROG,16,4
GHOST,17,4
SWAMP,18,4
NOISE,19,4
GEEK,20,4
HOOP,21,4
PICTURE,22,4
DOOR,23,4
LAKE,24,4
SMILE,25,4
HOTEL,26,4
WHEAT,27,4
POUND,28,4
SOUTH,29,4
STOMACH,30,4
JUMP,31,4
DIRT,32,4
KISS,33,4
STARS,34,4
DUSK,35,4
BRIDE,36,4
BELOW,37,4
SWEET,38,4
SHOES,39,4
ROAD,40,4
TRASH,41,4
WORLD,42,4
