"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"STING",3451.805,"Studied",40,2,"Identical",NA,NA,NA,NA,NA
"DOCTOR",3296.965,"Studied",13,2,NA,"14","Unrelated","BEACH",NA,NA
"COLONY",4967.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PURPOSE",3115.675,"Studied",12,1,NA,"12","Unrelated","MEAN",NA,NA
"POTATO",1619.29,"Studied",11,1,NA,"9","Unrelated","ANIMAL",NA,NA
"HARD",7993.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUIET",1187.255,"Studied",5,1,NA,"3","Unrelated","BEFORE",NA,NA
"SMART",1586.39,"Studied",8,3,NA,"13","Related","ALLERGY","SNEEZE",NA
"CAKE",1132.275,"Studied",3,3,NA,"9","Unrelated","NOISE",NA,NA
"MONKEY",2352.865,"Studied",4,3,NA,"10","Unrelated","WORLD",NA,NA
"ITCH",1348.995,"Studied",5,3,NA,"11","Unrelated","FIVE",NA,NA
"CLIMB",1798.43,"Studied",4,2,NA,"24","Unrelated","RIGHT",NA,NA
"FUNERAL",5012.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOOL",2630.935,"Studied",25,1,NA,"11,22","Related","PLEASE","THANKS",NA
"SCISSORS",2186.145,"Studied",27,1,NA,"10","Unrelated","WHERE",NA,NA
"STRANGE",5800.645,"Studied",1,4,NA,"2","Identical","TALK",NA,NA
"B",7999.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BICYCLE",1531.13,NA,NA,NA,NA,"15","Related","LEGS","ARMS",NA
"CHILD",7110.895,"Studied",20,1,NA,"15","Identical","STRIPE",NA,NA
"BABY",1453.025,"Studied",33,2,NA,"10,33","Related","IMPLODE","EXPLODE",NA
"SHEEP",1448.12,"Studied",34,2,NA,"11","Related","TIMBER","WOOD",NA
"MILK",1464.68,"Studied",35,2,NA,"12","Related","SICKLE","CELL",NA
"ROSE",6510.685,"Studied",6,2,NA,"26","Identical","BIKE",NA,"THORN"
"LIGHT",1506.335,"Studied",16,2,"Identical","31","Identical","TOOTH",NA,NA
"UNDER",1453.835,"Studied",7,2,NA,"27","Identical","NIGHTS",NA,NA
"PAPER",1899.41,"Studied",14,3,NA,"16","Unrelated","WHEAT",NA,NA
"LETTER",1385.84,"Studied",28,3,NA,"24","Identical","PRIDE",NA,NA
"PENCIL",1502.985,"Studied",22,3,NA,"23","Identical","BALL",NA,NA
"WRITE",4849.755,"Studied",37,2,NA,"2","Identical","LIGHT",NA,NA
"SUBJECT",2790.645,"Studied",25,2,NA,"9,13","Unrelated","DAGGER",NA,NA
"PROPER",1331.54,"Studied",24,2,NA,"8","Related","MIND","BRAIN",NA
"CLASS",2080.92,"Studied",42,2,NA,"6","Unrelated","BIRD",NA,NA
"TOWN",7625.795,"Studied",41,2,NA,"7","Unrelated","FRIGHT",NA,NA
"",7993.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7994.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4229.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1536.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7996.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1505.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",403.9050001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",620.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",653.2150002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8029.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7994.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8045.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7992.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BREAD",4095.285,"Studied",1,2,NA,"16","Identical","REPEAT",NA,NA
"HEAD",1231.715,"Studied",2,2,NA,"17","Unrelated","JAIL",NA,NA
"",8037.985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLAN",5219.605,"Studied",29,3,NA,"25","Identical","BOSS",NA,NA
"",4831.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",682.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",848.0849999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",648.7100001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",481.8300002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7992.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAVE",7826.38,"Studied",8,2,NA,"28,32","Related","SHAME","GUILT",NA
"",7995.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PENNY",5994.235,"Studied",18,2,NA,"21","Related","YARN","KNIT",NA
"ARM",2828.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMS",1015.265,"Studied",17,2,NA,"20","Identical","RULE",NA,"LEGS"
"SKIN",1081.84,"Studied",20,2,NA,"19","Identical","STING",NA,NA
"BRAIN",4029.1,"Studied",21,2,NA,"18","Related","THORN","ROSE","MIND"
