"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"BRAIN",3750.245,"Studied",24,2,NA,"12","Related","PRIM","PROPER",NA
"OVER",2099.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLEAR",1700.135,"Studied",14,4,"Identical",NA,NA,NA,NA,NA
"SMELL",1869.975,"Studied",15,4,"Identical","26","Related","DILEMMA","PROBLEM",NA
"",8000.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SICK",1934.22,"Studied",3,4,NA,"18","Unrelated","LOOK",NA,NA
"",8000.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TALK",1133.97,"Studied",27,4,"Identical",NA,NA,NA,NA,NA
"B",8000.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELL",4834.18,"Studied",19,4,"Identical",NA,NA,NA,NA,NA
"",8000.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VOLCANO",4900.675,"Studied",35,4,NA,"3","Identical","WARM",NA,NA
"",8000.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAIR",7237.36,"Studied",2,4,NA,"16","Unrelated","CHAIN",NA,NA
"SNEEZE",8000.4,"Studied",7,3,NA,"16","Unrelated","SMOKE",NA,NA
"JEANS",3781.3,"Studied",26,3,NA,NA,NA,NA,NA,"DENIM"
"SLIDE",2716.92,"Studied",7,1,NA,NA,NA,NA,NA,NA
"MODEL",6118.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHIRT",1429.425,"Studied",1,2,NA,"2","Unrelated","STREAM",NA,NA
"SPOT",1024.955,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNDER",3003.595,"Studied",6,2,NA,"5,22","Unrelated","SONG",NA,NA
"JAIL",4101.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8004.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ONCE",1068.105,"Studied",10,3,NA,"15","Unrelated","FIVE",NA,NA
"FINISH",8002.04,"Studied",18,3,NA,"20","Related","MOAT","CASTLE","DONE"
"FINISH",1287.625,"Studied",18,3,NA,"20","Related","MOAT","CASTLE","DONE"
"ENGLISH",6439.79,"Studied",38,3,"Identical",NA,NA,NA,NA,NA
"SURE",4801.21,"Studied",40,3,NA,"3","Unrelated","LAKE",NA,NA
"OVEN",2616.2,"Studied",41,3,NA,"4","Related","EIGHT","NINE",NA
"BALL",1265.87,NA,NA,NA,NA,"1","firstword","firstword",NA,NA
"",8007.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMELL",6637.22,"Studied",15,4,"Identical","26","Related","DILEMMA","PROBLEM",NA
"TALK",1216.625,"Studied",27,4,"Identical",NA,NA,NA,NA,NA
"",8001.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7993.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",10133.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7997.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRESS",2982.74,"Studied",21,4,"Identical",NA,NA,NA,NA,NA
"SOFT",7103.03,"Studied",13,3,NA,"17","Related","SHRINK","SMALL",NA
"HARD",1099.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLEEP",2033.97,"Studied",15,3,"Identical",NA,NA,NA,NA,NA
"ITCH",1669.84,"Studied",16,3,NA,"19","Unrelated","DOOR",NA,NA
"SMALL",1368.085,"Studied",17,3,NA,NA,NA,NA,NA,"SHRINK"
"BIG",1734.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8012.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8016.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8005.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7201.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",333.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",99.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",214.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",283.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",333.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",329.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",383.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",299.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",254.775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",231.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",134.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",49.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOSS",916.645,"Studied",1,3,NA,"8","Identical","LARGE",NA,NA
"",50.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",136.695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",183.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",2929.325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",66.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",450.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",249.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",158.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
