DelayedWord,DelayedRT
BRAIN,3750.245
OVER,2099.95
CLEAR,1700.135
SMELL,1869.975
,8000.98
SICK,1934.22
,8000.965
TALK,1133.97
B,8000.765
BELL,4834.18
,8000.965
VOLCANO,4900.675
,8000.765
,8001.045
,8001.32
,8001.585
,8000.905
,8000.4
,8001.525
HAIR,7237.36
SNEEZE,8000.4
JEANS,3781.3
SLIDE,2716.92
MODEL,6118.425
SHIRT,1429.425
SPOT,1024.955
UNDER,3003.595
JAIL,4101.205
,7999.1
,8004.825
,8001.1
ONCE,1068.105
FINISH,8002.04
FINISH,1287.625
ENGLISH,6439.79
SURE,4801.21
OVEN,2616.2
BALL,1265.87
,8007.94
SMELL,6637.22
TALK,1216.625
,8001.99
,8002.11
,8001.42
,8001.27
,8001.665
,8002.42
,8001.345
,8001.96
,7993.92
,10133.495
,7997.575
DRESS,2982.74
SOFT,7103.03
HARD,1099.625
SLEEP,2033.97
ITCH,1669.84
SMALL,1368.085
BIG,1734.255
,8000.385
,8001.46
,8012.475
,7999.715
,8000.965
,8016.56
,8001.76
,8002.7
,8005.51
,7201.965
,333.195
,99.545
,214.89
,283.21
,333.005
,329.375
,383.73
,299.725
,254.775
,231.06
,134.515
,49.34
BOSS,916.645
,50.495
,136.695
,183.36
,2929.325
,66.07
,450.735
,249.905
,158.35
,986.455
,621.465
,168.495
,147.41
,1499.945
,3351.53
,617.87
,1349.595
,1200.19
,4299.84
