RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
DAGGER,,,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
HEAD,z,1.79647,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
SHEEP,slash,1.333545,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
STRIPE,slash,2.715935,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
STRESS,slash,1.432865,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
ENTER,slash,3.615835,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
UNCLEAR,z,2.16416,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
MATH,slash,2.651415,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
GRAVE,slash,0.74863,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
MONKEY,z,1.41107,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
REAL,z,1.952365,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
PRESENT,slash,3.23378,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
DRESS,slash,0.765895,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
DIRT,slash,0.96662,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
JACKET,slash,1.23104,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
STEAL,z,1.00061,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
THREAD,slash,1.367135,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
HUNGER,slash,1.913385,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
DREAM,z,1.011395,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
SMART,slash,1.83539,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
OFFICE,slash,1.382175,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
RULE,z,1.983245,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
OVEN,slash,1.07992,TP,1,2020-10-29_16h42.27.684,DelayedExp,2020.1.3,60
