Participant,Prime,Prime_Duration,rt,Response
TP,CORNER,49.755,4133.165,XXXXX
TP,OPTION,50.035,204.61,XXXXX
TP,VODKA,49.08,1095.625,XXXXX
TP,CHEAT,49.9,1983.03,XXXXX
TP,CHEER,49.13,4390.285,XXXXX
TP,FOREST,42.03,3530.8,XXXXX
TP,WIND,79.065,2417.89,XXXXX
TP,SNAP,48.625,1183.995,XXXXX
TP,UNEASY,35.715,1983.875,XXXXX
TP,SPUNK,50.27,684.005,XXXXX
TP,MORAL,50.41,8000.675,XXXXX
TP,TRIVIA,47.9,5849.905,XXXXX
TP,FREAK,49.57,567.13,XXXXX
TP,SPAN,39.55,317.085,XXXXX
TP,TRAITOR,51.245,7996.405,XXXXX
TP,REACTOR,49.795,4535.96,XXXXX
TP,SPUN,49.525,6863.705,XXXXX
TP,LYNX,44.82,5234.225,XXXXX
TP,DAMAGE,37.24,7995.505,XXXXX
TP,SUIT,58.815,5425.27,XXXXX
TP,PIAZZA,50.55,415.57,XXXXX
TP,HOSTEL,47.725,325.67,XXXXX
TP,RESUME,49.755,3884.895,XXXXX
TP,LEND,48.775,7500.19,XXXXX
TP,STARK,47.325,5372.68,XXXXX
TP,MUZZLE,51.845,7989.09,XXXXX
TP,CEASE,38.92,7987.82,XXXXX
TP,MIDLAND,48.38,8004.98,XXXXX
TP,VOID,54.575,390.715,XXXXX
TP,FLAK,50.03,316.07,XXXXX
TP,ERUPT,52.32,460.76,XXXXX
TP,FAUNA,48.245,548.89,XXXXX
TP,CLAW,49.35,822.23,XXXXX
TP,TOTALLY,39.885,2018.565,XXXXX
TP,EFFIGY,49.115,1332.975,XXXXX
TP,PULL,48.37,3032.4,XXXXX
TP,MEET,49.215,7926.375,XXXXX
TP,PEEP,54.44,4933.375,XXXXX
TP,SHAVE,49.265,2466.585,XXXXX
TP,KEEP,49.585,8007.505,XXXXX
