participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
RF,QUEEN,3221.615,Studied,16,2,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
RF,MOTHER,1833.11,Studied,35,1,Recalled,NA,20,Unrelated,SING,NA,NA,unrelated,,,
RF,PILE,1288.17,Practice,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
RF,,8000.59,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
RF,TENNIS,2032.98,Studied,10,1,Recalled,NA,8,Unrelated,MUSIC,NA,NA,unrelated,,,
RF,SLOW,1286.6,Studied,13,1,Recalled,NA,5,Identical,BALLET,NA,NA,unrelated,,,
RF,STATES,1233.17,Studied,26,1,Recalled,NA,9,Identical,BUCKET,NA,NA,unrelated,,,
RF,NOSE,1038.17,Studied,17,1,Recalled,NA,25,Identical,KIDNAP,NA,NA,unrelated,,,
RF,SEEK,1816.67,Studied,7,1,Recalled,NA,12,Related,BOOK,READ,NA,unrelated,,,
RF,SPIDER,1157.09,Studied,2,1,Recalled,NA,22,Identical,INHALE,NA,NA,unrelated,,,
RF,WARM,1400.78,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
RF,HEART,1282.97,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
RF,NEPHEW,3599.395,Studied,1,3,NotRecalled,NA,11,Related,YUCK,GROSS,NA,unprimed,,,
RF,SLOW,3283.67,Studied,13,1,Recalled,NA,5,Identical,BALLET,NA,NA,unrelated,,,
RF,SPORTS,6216.535,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
RF,SWEET,2849.575,Studied,38,4,Recalled,NA,17,Unrelated,PAPER,NA,HONEY,related,honey,2,4
RF,ALIVE,5283.24,Studied,21,1,Recalled,NA,6,Identical,MOST,NA,NA,unrelated,,,
RF,TEST,3616.975,Studied,9,1,Recalled,Identical,19,Identical,ARGUE,NA,NA,identical,test,10,1
RF,TREAT,1066.61,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
RF,NEWS,4366.635,Studied,32,1,Recalled,NA,14,Related,ZEST,SOAP,NA,unrelated,,,
RF,,1083.24,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
RF,,556.5299999,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
RF,,8000.38,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
RF,,8000.96,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
RF,ELEPHANT,2669.745,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
