Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
TP,BRAIN,3750.245,Studied,24,2,Recalled,NA,12,Related,PRIM,PROPER,NA,unrelated,,,
TP,OVER,2099.95,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
TP,CLEAR,1700.135,Studied,14,4,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,clear,29,4
TP,SMELL,1869.975,Studied,15,4,Recalled,Identical,26,Related,DILEMMA,PROBLEM,NA,identical,smell,22,4
TP,,8000.98,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,SICK,1934.22,Studied,3,4,Recalled,NA,18,Unrelated,LOOK,NA,NA,unrelated,,,
TP,,8000.965,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,TALK,1133.97,Studied,27,4,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,talk,4,4
TP,B,8000.765,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
TP,BELL,4834.18,Studied,19,4,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,bell,2,4
TP,,8000.965,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,VOLCANO,4900.675,Studied,35,4,Recalled,NA,3,Identical,WARM,NA,NA,unrelated,,,
TP,,8000.765,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8001.045,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8001.32,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8001.585,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8000.905,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8000.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,,8001.525,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,
TP,HAIR,7237.36,Studied,2,4,Recalled,NA,16,Unrelated,CHAIN,NA,NA,unrelated,,,
TP,SNEEZE,8000.4,Studied,7,3,Recalled,NA,16,Unrelated,SMOKE,NA,NA,unrelated,,,
TP,JEANS,3781.3,Studied,26,3,NotRecalled,NA,NA,NA,NA,NA,DENIM,related,denim,31,3
TP,SLIDE,2716.92,Studied,7,1,NotRecalled,NA,NA,NA,NA,NA,NA,related,glide,15,1
TP,MODEL,6118.425,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
TP,SHIRT,1429.425,Studied,1,2,Recalled,NA,2,Unrelated,STREAM,NA,NA,unrelated,,,
