"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"SHEET",8000.965,NA,NA,NA,NA,"11",NA
"RIGHT",7999.68,"Studied",12,2,"Identical","27",NA
"FIRST",7998.25,"Studied",8,4,NA,"19,20",NA
"BEHIND",7998.57,"Studied",20,1,NA,"17",NA
"PLANET",8000.77,"Studied",23,2,NA,"6",NA
"DIRT",7990.725,"Studied",38,3,"Identical","6",NA
"SMILE",8003.67,"Studied",27,3,NA,"9",NA
"LAUGH",7996.805,"Studied",31,2,"Identical","5",NA
"GIRL",7999.165,NA,NA,NA,NA,"9",NA
"ORANGE",7999.235,"Studied",15,2,NA,"18",NA
"PURPLE",7994.855,"Studied",29,4,"Identical","42",NA
"ANIMAL",7994.19,"Studied",2,1,NA,"22",NA
"TIGER",7989.44,"Studied",13,1,"Identical","24",NA
"HORSE",7990.775,"Studied",5,1,NA,"23,42",NA
"STAIRS",8007.335,"Studied",30,2,NA,"10",NA
"STORY",7999.325,"Studied",6,2,"Identical","20,24",NA
"BORROW",7988.39,"Studied",40,4,NA,"3",NA
"FRIGHT",7996.61,"Studied",26,2,"Identical","31",NA
"TRAIN",7992.45,"Studied",8,3,NA,"11,36",NA
"FENCE",8007.46,"Studied",10,1,NA,"13",NA
"PICTURE",8001.76,"Studied",36,3,NA,"10",NA
"CHAIR",8000.475,"Studied",3,2,NA,"13",NA
"NOISE",7997.275,"Studied",31,3,NA,"13",NA
"SMOKE",8008.93,"Studied",9,3,NA,"27",NA
"BOMB",7993.89,"Studied",35,2,NA,"21",NA
"STREAM",7995.995,"Studied",1,2,NA,"26",NA
"LAND",8001.66,"Studied",7,3,NA,"14,17,41",NA
"PICKLE",7993.565,"Studied",2,2,NA,"8",NA
"SWEET",8005.145,"Studied",18,3,NA,"15",NA
"BRIDE",8006.55,"Studied",4,3,NA,"20",NA
"SNAKE",7994.015,"Studied",3,3,NA,"22",NA
"DIRTY",8010.73,"Studied",10,3,NA,"19",NA
"SHOE",7996.29,"Studied",27,4,NA,"3,5",NA
"HAIR",7994.25,NA,NA,NA,NA,"33",NA
"LENGTH",8008.635,"Studied",19,2,NA,"34",NA
"BLACK",8004.335,"Studied",1,3,NA,"25",NA
"MINUS",8007.665,"Studied",12,1,NA,"3",NA
"MOST",7997.965,"Studied",35,4,NA,"14",NA
"PAIN",8006.48,"Studied",23,4,NA,"9",NA
"TOES",7999.075,"Studied",7,4,NA,"8",NA
"FINGER",7988.315,"Studied",24,1,NA,"5",NA
"NOSE",8006.845,"Studied",18,4,NA,"7",NA
"SPOON",7989.07,"Studied",32,1,NA,"14",NA
"DAGGER",7989.31,"Studied",34,2,NA,"16",NA
"KILL",8003.61,"Studied",32,3,"Identical","18",NA
"LAWYER",8002.225,"Studied",21,2,NA,"14",NA
"WORK",7995.77,"Studied",17,2,NA,"15",NA
"ALIVE",7997.615,"Studied",11,4,NA,"17",NA
"BLEACH",8002.915,"Studied",14,4,NA,"18",NA
"MOTHER",7993.675,"Studied",30,4,NA,"33",NA
"CLAM",8007.225,"Studied",25,2,NA,"32",NA
"BEACH",8012.32,"Studied",9,2,NA,"2",NA
"UNCLE",7993.685,"Studied",7,1,"Identical","15",NA
"NEPHEW",7991.155,"Studied",18,2,"Identical","42",NA
"FRANCE",8012.26,"Studied",28,2,NA,"22",NA
"",8021.65,NA,NA,NA,NA,NA,NA
"SORROW",8010.08,NA,NA,NA,NA,NA,NA
"LEAF",7994.775,NA,NA,NA,NA,NA,NA
"SHOE",7996.925,"Studied",27,4,NA,"3,5",NA
"CHANGE",7997.775,"Studied",10,2,NA,"12",NA
"",7995.35,NA,NA,NA,NA,NA,NA
"BOMB",8007.15,"Studied",35,2,NA,"21",NA
"",8004.755,NA,NA,NA,NA,NA,NA
"DARK",8028.735,NA,NA,NA,NA,NA,NA
"LEARN",8005.84,"Studied",19,3,NA,"12",NA
"",7992.865,NA,NA,NA,NA,NA,NA
"KISS",8001.295,"Studied",37,3,NA,"21",NA
"",7994.245,NA,NA,NA,NA,NA,NA
"",8013.595,NA,NA,NA,NA,NA,NA
"",6683.135,NA,NA,NA,NA,NA,NA
