RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
GAME,z,1.58135,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SELLER,slash,1.10809,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PIECE,slash,1.37485,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PICKLE,slash,0.84359,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
FROG,z,1.035285,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PAPER,z,1.209405,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
BEHIND,slash,0.824425,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
DOCTOR,slash,1.65771,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
FAKE,z,1.030335,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
CASTLE,z,1.17226,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
STRIPE,z,1.205365,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SHARK,slash,1.617585,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
STREAM,slash,0.744315,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
QUIET,slash,0.935165,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
BRANCH,slash,0.84668,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
YELLOW,z,0.962915,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
GLORY,z,0.894735,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
JACKET,slash,1.359735,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
TRAILER,z,1.293815,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
GEEK,slash,1.043995,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
QUEEN,slash,0.967715,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
TEETH,slash,0.852015,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PENNY,z,0.984375,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PLAN,z,1.400875,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
WANT,z,1.09841,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
FRIGHT,slash,0.89801,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
POUND,slash,1.313325,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SOFT,z,1.893845,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
RENT,z,0.82367,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
LARGE,z,0.823865,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
HOOP,slash,1.139175,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
PICTURE,slash,0.833805,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SHOVE,z,1.16704,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
WRONG,z,1.24495,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
TIRED,slash,1.679345,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
BANK,slash,0.851945,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
MONEY,z,0.79332,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
FLOWER,slash,1.34648,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SPIDER,z,1.625575,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
STORY,slash,0.836415,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
WORST,z,2.57099,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
WHEAT,z,1.227375,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
NIGHTS,z,1.39015,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
TOUR,z,1.62463,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SHERIFF,z,0.859115,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
MOST,slash,0.7275,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
GIRLS,slash,0.644005,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
STRANGE,z,0.94395,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
BOARD,slash,1.311005,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
MOVE,z,1.160255,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SUBJECT,z,0.859895,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
STICKY,z,1.9997,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
CHAIN,slash,1.16551,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
CHILD,z,1.49803,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SMOOTH,z,1.14752,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
SEEK,slash,1.18701,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
CHOOSE,slash,1.229545,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
DREAM,z,1.999845,CM,1,2020-07-12_15h43.03.687,DelayedExp,2020.1.3,60
