"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"READ","z",1.22804,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",8,4,"Identical",NA,NA,NA
"DUSK","slash",1.29855,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",2,3,NA,NA,"2","39"
"SLIDE","z",1.55177,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"NAVY","slash",0.866455,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",24,4,NA,NA,"11",NA
"QUIET","z",0.902685,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WATER","slash",1.50893,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"REPEAT","z",0.84929,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DESERT","z",0.949435,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CHAIR","slash",0.81663,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",23,2,NA,NA,"17","57"
"PLAN","z",0.817105,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WORK","slash",1.73489,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",7,2,NA,NA,"8","18"
"GLORY","z",2.285915,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"WOOD","z",0.782525,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CLOCK","slash",0.64949,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",10,1,NA,NA,"17","1"
"BALL ","z",0.698935,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ITCH","z",1.001895,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CLUE","slash",1.28292,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GAME","z",1.16605,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LOOK","z",0.86564,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NUMBER","slash",0.88206,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",13,2,NA,NA,NA,NA
"TEST","slash",1.71626,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",15,4,NA,NA,NA,NA
"ARGUE","z",0.649765,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",14,4,"Identical",NA,NA,NA
"SHALLOW","z",0.784005,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"KNIFE","slash",2.8325,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BEACH","slash",1.43082,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",6,2,NA,NA,"7",NA
