"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"PLANET",2364.01,"Studied",1,3,NA,"1",NA
"LAWYER",1219.655,"Studied",22,3,NA,"8",NA
"BIRD",1004.13,"Studied",15,3,"Identical",NA,NA
"RIVER",1199.84,NA,NA,NA,NA,NA,NA
"ORANGE",3234.96,"Studied",13,3,NA,"21",NA
"KILL",3483.555,"Studied",39,4,NA,"1",NA
"PLANET",2286.28,"Studied",1,3,NA,"1",NA
"WORLD",983.46,"Studied",9,4,"Identical","20",NA
"GIRL",3417.545,NA,NA,NA,NA,NA,NA
"FEAR",2752.16,NA,NA,NA,NA,NA,NA
"CORAL",2902.02,"Studied",9,2,NA,"9",NA
"",8000.805,NA,NA,NA,NA,NA,NA
"CANDLE",2817.815,"Studied",3,1,NA,"5,7",NA
"HUNGER",1801.605,"Studied",2,1,NA,"4",NA
"LEMON",2001.365,"Studied",6,2,NA,"7",NA
"BRIDE",8001.08,"Studied",11,4,NA,"9",NA
"BRIDE",1050.015,"Studied",11,4,NA,"9",NA
"",8001.385,NA,NA,NA,NA,NA,NA
"",8000.785,NA,NA,NA,NA,NA,NA
"LEARN",1523.17,"Studied",34,4,NA,"16",NA
"",8001.74,NA,NA,NA,NA,NA,NA
"",8000.76,NA,NA,NA,NA,NA,NA
"",8000.525,NA,NA,NA,NA,NA,NA
"DOUBT",2432.965,NA,NA,NA,NA,NA,NA
"",7999.985,NA,NA,NA,NA,NA,NA
"CLOCK",6084.225,"Studied",13,2,NA,"10",NA
"ENTER",5901.215,"Studied",5,2,NA,"5",NA
"",7999.745,NA,NA,NA,NA,NA,NA
"COOKIE",1584.21,NA,NA,NA,NA,NA,NA
"",8001.195,NA,NA,NA,NA,NA,NA
"BELIEVE",1234.32,NA,NA,NA,NA,NA,NA
"",7999.855,NA,NA,NA,NA,NA,NA
"FLY",3336,NA,NA,NA,NA,NA,NA
"",8001.94,NA,NA,NA,NA,NA,NA
"",8001.065,NA,NA,NA,NA,NA,NA
"",8001.065,NA,NA,NA,NA,NA,NA
"",7988.345,NA,NA,NA,NA,NA,NA
"",7998.945,NA,NA,NA,NA,NA,NA
"PLANT",984.525,"Studied",17,2,NA,"22",NA
"",8011.665,NA,NA,NA,NA,NA,NA
"",8001.42,NA,NA,NA,NA,NA,NA
"",8002.63,NA,NA,NA,NA,NA,NA
"",8000.78,NA,NA,NA,NA,NA,NA
"LAMP",1350.785,NA,NA,NA,NA,NA,NA
"",8001.945,NA,NA,NA,NA,NA,NA
"",8000.18,NA,NA,NA,NA,NA,NA
"",8001.03,NA,NA,NA,NA,NA,NA
"TALL",6249.98,NA,NA,NA,"Related",NA,NA
"",8000.855,NA,NA,NA,NA,NA,NA
"",7988.33,NA,NA,NA,NA,NA,NA
"CRACKER",1449.38,"Studied",32,3,NA,"11",NA
"HAPPY",5968.57,NA,NA,NA,NA,NA,NA
"SMILE",3284.34,"Studied",22,4,NA,"15",NA
"NERD",4519.25,NA,NA,NA,NA,NA,NA
"GEEK",1194.395,"Studied",23,4,NA,"13",NA
"E",8000.625,NA,NA,NA,NA,NA,NA
"DEVIL",1751.34,"Studied",24,4,NA,"12",NA
"",7999.56,NA,NA,NA,NA,NA,NA
"",8000.28,NA,NA,NA,NA,NA,NA
"",7999.385,NA,NA,NA,NA,NA,NA
"",8001.235,NA,NA,NA,NA,NA,NA
"",8000.51,NA,NA,NA,NA,NA,NA
"",8003.005,NA,NA,NA,NA,NA,NA
"",8000.47,NA,NA,NA,NA,NA,NA
"",8003.335,NA,NA,NA,NA,NA,NA
"",8001.99,NA,NA,NA,NA,NA,NA
"",8001.625,NA,NA,NA,NA,NA,NA
"",8003.74,NA,NA,NA,NA,NA,NA
"",8000.81,NA,NA,NA,NA,NA,NA
"",8008.715,NA,NA,NA,NA,NA,NA
"",8001.285,NA,NA,NA,NA,NA,NA
"",7989.745,NA,NA,NA,NA,NA,NA
"",8001.075,NA,NA,NA,NA,NA,NA
"",8001.075,NA,NA,NA,NA,NA,NA
"",8000.66,NA,NA,NA,NA,NA,NA
"",7989.43,NA,NA,NA,NA,NA,NA
"",8000.95,NA,NA,NA,NA,NA,NA
"",8005.26,NA,NA,NA,NA,NA,NA
"",8000.03,NA,NA,NA,NA,NA,NA
"",7999.52,NA,NA,NA,NA,NA,NA
"",8001.065,NA,NA,NA,NA,NA,NA
"",8001.065,NA,NA,NA,NA,NA,NA
"",7990.31,NA,NA,NA,NA,NA,NA
"",7999.715,NA,NA,NA,NA,NA,NA
"OCEAN",4401.415,NA,NA,NA,NA,"22",NA
"",8001.075,NA,NA,NA,NA,NA,NA
"",8001.075,NA,NA,NA,NA,NA,NA
"ANIMAL",2301.99,"Studied",21,2,NA,"19",NA
"LIGHT",5337.895,NA,NA,NA,NA,NA,NA
"FIRE",4016.78,NA,NA,NA,NA,NA,NA
"BLAZE",1135.52,NA,NA,NA,NA,NA,NA
"",8002.03,NA,NA,NA,NA,NA,NA
"LEAVES",5115.895,"Studied",34,2,"Identical","26",NA
"",7989.395,NA,NA,NA,NA,NA,NA
"",8000.065,NA,NA,NA,NA,NA,NA
"",8050.94,NA,NA,NA,NA,NA,NA
"",1178.5,NA,NA,NA,NA,NA,NA
