DelayedWord,DelayedRT
PLANET,2364.01
LAWYER,1219.655
BIRD,1004.13
RIVER,1199.84
ORANGE,3234.96
KILL,3483.555
PLANET,2286.28
WORLD,983.46
GIRL,3417.545
FEAR,2752.16
CORAL,2902.02
,8000.805
CANDLE,2817.815
HUNGER,1801.605
LEMON,2001.365
BRIDE,8001.08
BRIDE,1050.015
,8001.385
,8000.785
LEARN,1523.17
,8001.74
,8000.76
,8000.525
DOUBT,2432.965
,7999.985
CLOCK,6084.225
ENTER,5901.215
,7999.745
COOKIE,1584.21
,8001.195
BELIEVE,1234.32
,7999.855
FLY,3336
,8001.94
,8001.065
,7988.345
,7998.945
PLANT,984.525
,8011.665
,8001.42
,8002.63
,8000.78
LAMP,1350.785
,8001.945
,8000.18
,8001.03
TALL,6249.98
,8000.855
,7988.33
CRACKER,1449.38
HAPPY,5968.57
SMILE,3284.34
NERD,4519.25
GEEK,1194.395
E,8000.625
DEVIL,1751.34
,7999.56
,8000.28
,7999.385
,8001.235
,8000.51
,8003.005
,8000.47
,8003.335
,8001.99
,8001.625
,8003.74
,8000.81
,8008.715
,8001.285
,7989.745
,8001.075
,8000.66
,7989.43
,8000.95
,8005.26
,8000.03
,7999.52
,8001.065
,7990.31
,7999.715
OCEAN,4401.415
,8001.075
ANIMAL,2301.99
LIGHT,5337.895
FIRE,4016.78
BLAZE,1135.52
,8002.03
LEAVES,5115.895
,7989.395
,8000.065
,8050.94
,1178.5
