"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"GLASSES","z",1.46335,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"EXCUSE","z",1.658,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GHOST","slash",0.95836,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",22,4,"Identical",NA,NA,NA
"SPOON","slash",0.92473,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",8,2,NA,NA,NA,NA
"LETTER","slash",0.96046,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LEAVES","slash",0.80397,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA
"PEPPER","slash",1.312765,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",31,2,"Identical",NA,NA,NA
"WEST","slash",0.76229,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",10,3,"Identical",NA,NA,NA
"DISAGREE","z",0.42208,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MINIMUM","z",1.154555,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GIRLS","z",1.174305,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",28,2,NA,NA,NA,NA
"DRUGS","z",1.32015,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GRAVE","slash",0.57234,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TREE","slash",0.731685,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BUSH","z",0.830475,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SWORD","slash",0.97054,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SKIN","slash",0.9467,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"QUIET","z",0.754025,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"NICKEL","slash",0.6792,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",35,3,"Identical",NA,NA,NA
"JUMP","slash",0.588915,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",21,4,NA,NA,NA,NA
"LAWYER","slash",0.758105,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",23,3,NA,NA,NA,NA
"GUILT","z",0.2484,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WANT","z",0.88809,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FROG","slash",0.272425,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",17,4,NA,NA,NA,NA
"KILL","slash",0.736945,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",29,4,NA,NA,NA,NA
"YELLOW","slash",0.603725,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ORANGE","z",0.30218,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",31,3,NA,NA,NA,NA
"EXACT","slash",0.42021,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CHILD","z",0.445795,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TOCK","slash",0.876915,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TEST","slash",0.287755,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",22,1,"Identical",NA,NA,NA
"MUSCLE","slash",0.30767,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",16,2,NA,NA,NA,NA
"SHIRT","z",0.295045,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ENGLISH","slash",0.364675,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PACKAGE","z",0.307145,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"EXPLODE","slash",0.859545,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WOOD","slash",1.008525,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"VOTE","z",0.621545,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STOMACH","slash",0.805695,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",13,4,NA,NA,NA,NA
"WINTER","z",0.7731,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",3,1,NA,NA,"6",NA
"ITCH","slash",0.604165,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SELF","slash",0.66225,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"HAIR","z",0.804935,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"YOUNG","slash",0.802985,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WHERE","slash",0.325765,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",38,2,"Identical",NA,NA,NA
"BUTTER","z",0.70222,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",42,1,NA,NA,NA,NA
"CLOWN","z",0.307375,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"FAKE","z",0.65921,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FINISH","z",0.694675,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"REAL","slash",0.57905,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"QUART","slash",0.44347,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",6,2,"Identical",NA,NA,NA
"TRASH","z",0.441365,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",2,4,NA,NA,NA,NA
"LOVE","slash",0.421785,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SORRY","slash",0.42292,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",20,4,NA,NA,NA,NA
"SUPPER","z",0.287935,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",34,1,NA,NA,NA,NA
