"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"NICKEL","z",1.29799,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",33,3,"Identical",NA,NA,NA
"LETTUCE","z",0.84913,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TWELVE","z",0.67739,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",27,3,NA,NA,NA,NA
"BEACH","z",0.91631,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",30,3,"Identical",NA,NA,NA
"TALK","z",0.749665,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHIP","z",0.903625,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DOCTOR","slash",1.76561,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GRAND","z",2.159275,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHARK","z",1.18374,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",10,2,"Identical",NA,NA,NA
"SLOW","slash",0.83311,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",10,1,NA,NA,NA,NA
"DAGGER","slash",1.66001,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",18,3,NA,NA,NA,NA
"MONEY","slash",0.537735,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",20,3,NA,NA,NA,NA
"OFFICE","slash",0.83348,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",41,2,"Identical",NA,NA,NA
"BEFORE","z",0.819165,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",32,2,NA,NA,NA,NA
"ARMS","z",0.97004,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"KNIT","z",1.047765,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SILK","slash",1.08363,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MINUS","z",0.670385,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",26,2,NA,NA,NA,NA
"SWEET","slash",0.98408,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",31,4,NA,NA,NA,NA
"WATER","slash",0.7477,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CHEESE","slash",0.582865,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",8,3,"Identical",NA,NA,NA
"TREE","slash",0.86564,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SORRY","z",0.664415,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",22,4,NA,NA,NA,NA
"KNIFE","slash",0.61594,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CANDLE","slash",0.749125,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",8,1,NA,NA,"3","1"
