participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SMOKE,1482.86,firstword,firstword,,1,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BLACK,1116.4,CAMERA,Related,49.87999999,2,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,TIGHT,1233.145,WANT,Unrelated,49.9,3,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,WORLD,883.065,MINOR,Identical,36.38000001,4,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,DEVIL,1032.98,LAND,Identical,50.76,5,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BELOW,1082.84,BELOW,Identical,49.595,6,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,DIRT,832.86,STOMACH,Identical,49.805,7,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SHOES,949.915,DOOR,Identical,49.7,8,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,CAMPING,1316.365,POND,Related,49.6,9,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.47,MAD,Unrelated,49.39,10,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,LEARN,4916.13,GARBAGE,Related,48.995,11,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.185,GHOUL,Related,49.32999999,12,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,MURDER,1952.355,SMART,Unrelated,49.01,13,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.22,PENCIL,Unrelated,49.89499999,14,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,HEAR,849.055,SOUTH,Identical,54.95999999,15,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,FINGER,3560.265,APOLOGY,Related,50.35,16,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8004.89,JUMP,Identical,49.76000001,17,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BRIDE,1049.165,FOUR,Related,49.13999999,18,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,KISS,1016.315,CABOOSE,Related,50.005,19,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,WEDDING,2633.255,FROG,Identical,49.665,20,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.975,HOTEL,Identical,50.18999999,21,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.775,ROAD,Identical,49.29499999,22,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.455,CARRY,Unrelated,49.22,23,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,NOISE,5032.395,WHEAT,Identical,49.44,24,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.245,BALL,Unrelated,37.05500001,25,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,LAY,7966.25,TENT,Related,49.375,26,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,7990.66,PRESENT,Identical,48.78499999,27,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.505,POUND,Identical,49.45000001,28,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,7995.38,MARSH,Related,51.60499999,29,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.2,SMALL,Unrelated,49.28000001,30,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.725,KILL,Identical,48.325,31,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.57,SMILE,Identical,49.43500001,32,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,OLIVE,1182.605,STARS,Identical,49.27,33,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8022.57,BANK,Unrelated,54.17,34,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,FIVW,6532.92,LETTER,Unrelated,49.225,35,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,FIVE,849.43,HULA,Related,49.27,36,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.925,SURE,Unrelated,49.81500001,37,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,7992.22,SNEEZE,Unrelated,48.99000001,38,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8002.9,BOSS,Unrelated,49.19999999,39,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8018.305,PRIDE,Unrelated,49.33499999,40,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.505,CROOK,Related,49.44,41,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.67,MAID,Unrelated,48.59000001,42,1
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,MILK,1066.785,firstword,firstword,,1,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BUTTER,1020.84,BORROW,Identical,49.73,2,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BALLET,942.855,ABDUCT,Related,50.17,3,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,HUNGER,2255.745,LETTUCE,Unrelated,49.895,4,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,TOES,863.17,SOAP,Identical,37.14,5,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,TENNIS,1071.31,DEAD,Related,55.57,6,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,TEST,1349.815,NOSE,Identical,49.71000001,7,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SQUARE,1039.655,HEAR,Unrelated,49.92,8,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,CHAINS,1065.935,TOUR,Identical,49.98500001,9,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,WINTER,1086.125,NONE,Unrelated,55.24,10,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,MOST,872.955,JACKET,Unrelated,49.89000001,11,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SLOW,857.71,SICK,Unrelated,49.93499999,12,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,PURPLE,1271.565,ARMY,Related,49.98500001,13,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,LESS,1072.35,MIDDLE,Identical,36.935,14,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,THIRSTY,1509.7,NEEDLE,Related,46.71000001,15,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BRANCH,1149.63,READ,Identical,49.88999999,16,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,WAITER,1223.05,DEBATE,Related,49.89000001,17,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SPIDER,1332.425,VERB,Identical,50.16,18,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SOAP,1066.175,STATES,Identical,50.095,19,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,CANDLE,1216.06,GAME,Unrelated,50.11500001,20,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SHOE,806.59,DESERT,Unrelated,49.74,21,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,SUPPER,1038.48,TAKE,Unrelated,45.09,22,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BUCKET,1087.61,FIRST,Identical,37.62,23,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,BLEACH,1216.22,PAIN,Identical,37.64,24,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,MOTHER,1188.225,THIRST,Identical,50.08,25,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,XXXXX,7992.615,WILD,Identical,49.96,26,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,STATES,1132.61,YEAR,Unrelated,49.09500001,27,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,WILD,1654.72,LOVE,Unrelated,50.92000001,28,2
KT,1,2020-07-01_12h59.21.711,S1.1ConstantTotalFinal,2020.1.3,60,PLATE,5783.415,NEWS,Identical,49.95499999,29,2
