DelayedWord,DelayedRT
WEST,2432.815
SOUTH,1266.75
SHOE,1583.225
SHOES,1383.335
GRASS,2350.04
HOTEL,1917.165
LAKE,866.83
BELOW,1383.285
FRANCE,1333.32
WORK,1816.675
OFFICE,1999.82
KILL,2533.93
GHOST,2183.245
SMILE,1825.39
SWEET,1866.41
FENCE,7149.88
COAST,8000.365
,7998.975
ARGUE,7999.86
,7999.915
PAIN,5366.065
WHEAT,8000.555
JUMP,1750.785
FROG,966.72
SNAKE,1066.565
WHERE,1233.765
THERE,1416.93
,8000.595
,7999.5
UNCLE,1616.325
TIGER,1116.375
SHARK,2083.165
HORSE,1200.245
STAIR,1500.195
STAIRS,1800.15
ENTER,5866.425
TEETH,2050.365
CLOSE,3883.055
SPOON,4299.815
GIRLS,4983.28
YOURS,1832.775
TWELVE,1850.02
FIVE,900.175
ONE,1433.465
NICKEL,1832.94
NEPHEW,8000.49
,8000.085
TABLE,4400.11
SUPPER,1382.89
BLACK,3749.58
KISS,967.01
GEEK,1033.11
DEVIL,4616.8
LEARN,3500.325
TRAIN,1249.715
,8000.52
,7999.38
,8000.23
PETER,8000.285
YOURS,7999.575
,8000.055
,8000.115
,7998.675
,8000.46
WEEP,1966.53
RAIN,2999.69
,7999.81
CHANGE,1466.275
DOLLAR,1466.995
,8000.675
,7999.34
B,7999.995
BEACH,1299.67
,8000.46
CHEESE,8000.005
,7999.925
,8000.095
DIRT,3933.245
DIRTY,1333.025
,8001.11
,8002.855
,7999.985
,7999.955
,7999.515
,7999.92
,8000.08
,8000.815
QUEEN,5850.465
,7999.335
BOMB,7053.56
STREAM,2282.97
PICKLE,5258.055
,8000.965
,7998.485
,7999.61
,8000.865
,7999.415
,7999.49
,8000.29
,7999.71
