participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,BALLET,1622,firstword,firstword,,1,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,PURPLE,3092,ZEST,Related,49,2,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,TOES,1052,ALIVE,Identical,51,3,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SHOES,7019,KIDNAP,Identical,51,4,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,NAVY,3376,THREAD,Identical,50,5,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SOAP,2389,TOUR,Identical,51,6,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,ALIVE,3943,LOOK,Identical,50,7,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,THREAD,2188,STORE,Unrelated,50,8,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,STATES,4913,QUENCH,Related,50,9,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,READ,1738,SUMMER,Related,50,10,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,FIX,7988,PROBLEM,Unrelated,50,11,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,ARGUE,8005,HIDE,Related,50,12,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,LOVING,7988,FATHER,Related,50,13,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,EXHALE,Related,51,14,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,BUCKET,Identical,50,15,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,RACKET,Related,50,16,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,HURT,Related,50,17,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,PEANUT,Related,50,18,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,BELL,Unrelated,51,19,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,WAITER,1370,SUPPER,Identical,49,20,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,COBWEB,Related,49,21,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,LEAST,Related,51,22,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,MAYBE,Unrelated,50,23,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,NOSE,7988,CANDLE,Identical,50,24,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,CHAIN,7989,FIRST,Identical,50,25,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,MORE,Related,50,26,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,CANDLE,8004,LEND,Related,51,27,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,HAIR,Unrelated,50,28,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SOAP,8004,HUNGER,Identical,50,29,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,GAME,Unrelated,50,30,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7990,VOLCANO,Unrelated,51,31,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,COLLECT,Unrelated,51,32,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,JACKET,Unrelated,50,33,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,HINT,Related,50,34,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,ROOF,Unrelated,50,35,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,SQUARE,Identical,51,36,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,FAST,Related,49,37,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,YEAR,Unrelated,51,38,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8007,MEDIA,Related,50,39,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,CENTER,Related,50,40,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,FOOD,Unrelated,50,41,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8006,BRANCH,Identical,50,42,1
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,MUSCLE,1721,firstword,firstword,,1,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SHOVE,1338,THIN,Unrelated,50,2,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,ENTER,5832,SILVER,Unrelated,51,3,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,HORSE,1621,PURPOSE,Unrelated,50,4,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,ANIMAL,1403,BUSH,Unrelated,50,5,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SHARK,1854,GIRLS,Identical,50,6,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,OCEAN,1187,DOLLAR,Identical,49,7,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,TIGER,1203,HALF,Related,50,8,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,QUEEN,1102,REAL,Unrelated,50,9,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,EARLY,1219,WHEN,Related,52,10,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,THERE,1002,VOTE,Unrelated,50,11,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,BEFORE,1153,LEMON,Identical,50,12,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,CLOCK,1872,PLANT,Identical,50,13,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,MINUTE,1386,SAME,Unrelated,48,14,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,SCARED,1470,PEPPER,Identical,50,15,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,CANCER,6701,TEETH,Identical,51,16,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,FINGERS,1421,DRUGS,Unrelated,51,17,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,YOURS,2072,THROW,Identical,49,18,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,GIRL,1789,SHORT,Identical,50,19,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,NECK,Unrelated,50,20,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,WORST,7988,SPOON,Identical,49,21,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7990,RENT,Unrelated,51,22,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,FINGER,Identical,50,23,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,MEAN,Identical,50,24,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8006,CORAL,Identical,51,25,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8003,GRASS,Identical,49,26,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7988,CHILD,Unrelated,50,27,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8005,RAIN,Unrelated,49,28,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,KNIFE,Unrelated,49,29,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,EXACT,Unrelated,51,30,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,LEMON,8005,PINT,Related,50,31,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8004,OPEN,Related,50,32,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989,UNCLE,Identical,51,33,2
MM,1,2020-07-08_14h05.39.993,S1.2ConstantTotalFinal,2020.1.3,60,XXXXX,8006,DIAL,Related,49,34,2
