RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
VOLCANO,z,1.172395,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SMOKE,slash,1.58513,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
TWELVE,slash,0.897695,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
DOOR,slash,2.133365,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ENTER,z,0.865175,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ARMS,z,0.74949,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SPICE,z,1.99781,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
THIEF,slash,1.397565,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
MAD,z,0.69884,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WATER,z,2.951975,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CLEAR,z,0.71128,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
TOES,z,0.84877,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WOOD,z,1.4251,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
BIRD,slash,0.64941,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ANNOY,z,0.862885,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CLASS,z,0.9331,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
TOCK,z,0.679275,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
MONEY,slash,0.715595,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PROBLEM,z,0.90028,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ENGLISH,z,0.731245,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
HAPPY,z,0.56591,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
DIRT,slash,0.63236,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
MINUS,z,1.996395,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
HOTEL,slash,0.90041,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
TENNIS,slash,0.715765,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
EXCUSE,z,0.83399,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CANDLE,slash,0.596095,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
KISS,slash,0.71572,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
HATE,z,0.82579,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
FROG,slash,0.599785,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SQUARE,slash,1.02999,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SPOTS,z,1.03297,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ROOF,z,0.799635,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
LOSE,z,0.867085,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SHOES,slash,0.53258,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
STAMP,slash,1.201425,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
MOTHER,slash,0.633395,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PLANE ,z,0.67965,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SONG,z,0.678855,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WHEAT,slash,1.06607,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
OUTTAKE,z,0.66731,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
STICKY,slash,1.54451,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
READ,slash,0.71229,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
BALLET,slash,0.533565,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
STOP,slash,0.65084,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WINTER,slash,0.56431,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CHEESE,z,0.71535,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WHERE,z,0.84927,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
FIRST,slash,0.896865,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PICTURE,slash,1.43362,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PAIN,slash,0.634085,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CHAIN,slash,0.615995,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PIECE,z,0.912055,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SUBJECT,z,1.48285,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CHURCH,z,1.015995,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
INHALE,slash,0.73025,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PURPOSE,slash,1.62759,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PACKAGE,z,0.990025,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
BALL ,z,2.431675,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
BABY,z,1.033975,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
ITCH,z,0.61509,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
NIGHTS,z,1.150135,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
BREAK,z,0.83237,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PHONE,z,0.750495,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
FISH,slash,0.800185,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PLANT,slash,0.682155,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
WEIGHT,slash,0.73182,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SPIT,slash,0.86718,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
FINGER,z,1.062025,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
TIRED,z,0.6997,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SILVER,z,0.683115,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
GIRLS,z,0.683385,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
DRESS,z,0.81598,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
MAYBE,z,0.625285,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SOAP,slash,0.643305,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
LOOK,z,0.800425,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SPOON,z,0.666425,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SING,slash,0.94917,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SHERIFF,z,0.8952,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
HORN,z,0.512225,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
SHIRT,z,0.56669,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
REAL,z,0.584205,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
PRESENT,slash,0.628565,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
CORAL,z,1.01759,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
DISAGREE,z,0.99899,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
FRIGHT,z,1.166845,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
JACKET,z,0.699575,RB,1,2020-07-14_17h49.18.366,DelayedExp,2020.1.3,60
