"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"SOAP",8000.15,"firstword","firstword",NA,1,1,1,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"LOVING",8005.775,"SPIDER","Identical",51.015,2,1,2,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"WINTER",7998.715,"THIRST","Identical",50.185,3,1,4,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"MILK",8004.685,"HIDE","Related",48.43,4,1,3,"Studied","Unrelated","seek"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"BLEACH",7998.23,"BRANCH","Identical",50.435,5,1,6,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"BORROW",8000.105,"GUIDE","Unrelated",52.08,6,1,7,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"PURPLE",7999.185,"ALIVE","Identical",50.39,7,1,9,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"INHALE",8001.6,"ROOF","Unrelated",35.885,8,1,10,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"NOSE",8001.14,"LOOK","Unrelated",50.98,9,1,11,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"BALLET",7988.995,"TEST","Identical",49.385,10,1,12,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"NAVY",7999.635,"TENNIS","Identical",49.49,11,1,13,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"ALIVE",7999.84,"WILD","Identical",49.875,12,1,14,"Studied","Identical",NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"SUPPER",8000.485,"STORE","Unrelated",50.93,13,1,15,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"TOES",8000.825,"ARGUE","Identical",49.37,14,1,18,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"LESS",8000.525,"BUCKET","Identical",48.64,15,1,21,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"MOST",8006.05,"SERVER","Related",48.305,16,1,22,"Studied",NA,"waiter"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"SPIDER",8007.06,"SWORD","Unrelated",49.965,17,1,19,"Studied","Identical",NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"CHAIN",7999.07,"NOUN","Related",51.215,18,1,23,"Studied",NA,"verb"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"TEST",8000.08,"BOARD","Unrelated",51.54,19,1,25,"Studied","Identical",NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"READ",7999.625,"KIDNAP","Identical",36.935,20,1,28,"Studied",NA,NA
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"HUNGRY",8004.205,"FAST","Related",48.995,21,1,NA,NA,NA,"slow"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"ARGUE",8001.13,"HURT","Related",49.125,22,1,30,"Studied","Identical","pain"
"SK",1,"2020-07-08_14h58.41.945","S1.2ConstantTotalFinal","2020.1.3",60,"FIRST",7988.78,"MAGIC","Unrelated",50.275,23,1,31,"Studied",NA,NA
