RecalledWord,StudyPosition,Block
TOES,1,1
LESS,2,1
BLEACH,3,1
INHALE,4,1
LOVING,5,1
THREAD,6,1
SHOE,7,1
THIRST,8,1
NAVY,9,1
BUTTER,10,1
BORROW,11,1
VERB,12,1
SQUARE,13,1
MIDDLE,14,1
NOSE,15,1
PURPLE,16,1
TENNIS,17,1
ALIVE,18,1
BALLET,19,1
CANDLE,20,1
SOAP,21,1
SPIDER,22,1
WAITER,23,1
MOST,24,1
KIDNAP,25,1
CHAIN,26,1
FIRST,27,1
MILK,28,1
WILD,29,1
STATES,30,1
BRANCH,31,1
BUCKET,32,1
ARGUE,33,1
WINTER,34,1
MOTHER,35,1
HUNGER,36,1
READ,37,1
PAIN,38,1
SLOW,39,1
TEST,40,1
SEEK,41,1
SUPPER,42,1
TEETH,1,2
BEFORE,2,2
THROW,3,2
OFFICE,4,2
SHARK,5,2
TIGER,6,2
WHERE,7,2
DOLLAR,8,2
FENCE,9,2
SHORT,10,2
LEAVES,11,2
YOURS,12,2
BEHIND,13,2
FOUND,14,2
FINGER,15,2
HORSE,16,2
MINUS,17,2
EARLY,18,2
CANCER,19,2
CLOCK,20,2
MUSCLE,21,2
QUEEN,22,2
UNCLE,23,2
CLOSE,24,2
GRASS,25,2
PHONE,26,2
STAIR,27,2
ANIMAL,28,2
WORST,29,2
QUART,30,2
GIRLS,31,2
SHOVE,32,2
LEMON,33,2
THERE,34,2
MINUTE,35,2
ENTER,36,2
CORAL,37,2
WHOLE,38,2
PEPPER,39,2
PLANT,40,2
SCARED,41,2
SPOON,42,2
TWELVE,1,3
FRANCE,2,3
HORN,3,3
MONEY,4,3
PLANET,5,3
CLAUS,6,3
BOMB,7,3
DAGGER,8,3
BEACH,9,3
CRACKER,10,3
LAWYER,11,3
GROSS,12,3
STAIRS,13,3
CHEESE,14,3
PICKLE,15,3
CHAIR,16,3
FRIGHT,17,3
SMOOTH,18,3
STREAM,19,3
ORANGE,20,3
WEIGHT,21,3
SHEETS,22,3
WEST,23,3
STORY,24,3
NICKEL,25,3
LAUGH,26,3
CLAM,27,3
FLOWER,28,3
STOP,29,3
BIRD,30,3
FISH,31,3
WORK,32,3
RIGHT,33,3
EMPIRE,34,3
CHANGE,35,3
NUMBER,36,3
SELLER,37,3
EGGS,38,3
NEPHEW,39,3
GUITAR,40,3
HAMMER,41,3
LENGTH,42,3
STOMACH,1,4
NOISE,2,4
WORLD,3,4
CAMP,4,4
LAYER,5,4
GEEK,6,4
WHEAT,7,4
TIGHT,8,4
LAKE,9,4
SMOKE,10,4
TRASH,11,4
SOUTH,12,4
BRIDE,13,4
MINOR,14,4
TRAIN,15,4
KISS,16,4
THIEF,17,4
FIVE,18,4
POUND,19,4
LAND,20,4
DIRT,21,4
DEVIL,22,4
HOTEL,23,4
SORRY,24,4
DUSK,25,4
SNAKE,26,4
BLACK,27,4
DEAF,28,4
HOOP,29,4
DIRTY,30,4
SHOES,31,4
GHOST,32,4
SWAMP,33,4
JUMP,34,4
SWEET,35,4
FROG,36,4
PRESENT,37,4
PICTURE,38,4
LEARN,39,4
KILL,40,4
SMILE,41,4
BELOW,42,4
