Participant,Prime,Prime_Duration,rt,Response
AS,SPUNK,48.61499998,149.0600001,XXXXX
AS,CLAW,50.80500001,1150.47,XXXXX
AS,SPUN,49.82499999,1233.235,SPUN
AS,PULL,49.89500006,1417.085,PULL
AS,UNEASY,49.44500001,1383.475,EASY
AS,MIDLAND,50.54000008,2384.515,MIDLAND
AS,LYNX,48.95999993,1183.135,XXXXX
AS,KEEP,49.16499997,1849.145,KEEP
AS,HOSTEL,50.66999991,234.965,XXXXX
AS,SHAVE,50.73000002,1281.4,SHAVE
AS,VOID,51.22999998,779.705,XXXXX
AS,CEASE,49.78999996,3788.47,CREASE
AS,FLAK,50.01000001,451.34,XXXXX
AS,RESUME,49.94499998,432.9949999,XXXXX
AS,OPTION,49.17500005,1383.675,OPTION
AS,CORNER,50.07499992,1716.69,SOON
AS,MEET,49.6599999,2199.855,MEET
AS,SPAN,50.90999999,1367.04,SPAIN
AS,WIND,51.28999997,1699.26,WIND
AS,CHEAT,49.04499999,1267.29,CHEAT
AS,EFFIGY,50.29000004,932.4,XXXXX
AS,TOTALLY,51.47999991,2066.345,TOTALLY
AS,CHEER,50.30500004,2166.815,CHEER
AS,TRIVIA,49,1850.94,TRIVIAL
AS,LEND,49.55,1749.9,LEGEND
AS,PIAZZA,50.09499996,333.6,XXXXX
AS,SNAP,50.23499997,1032.14,SNAP
AS,SUIT,49.55,418.495,XXXXX
AS,TRAITOR,51.095,2115.82,TRAITOR
AS,FOREST,49.85499999,1683.085,FOREST
AS,VODKA,49.12500002,1150.025,XXXXX
AS,STARK,49.30499999,1149.505,STARS
AS,REACTOR,50.33999996,1799.355,TRACTOR
AS,ERUPT,48.89999994,533.2599999,XXXXX
AS,PEEP,49.70500001,1149.34,PEEP
AS,MORAL,50.12000003,2117.355,MORAL
AS,DAMAGE,49.75000001,1499.37,DAMAGE
AS,FAUNA,50.15499995,1250.14,ANGEL
AS,FREAK,49.95999997,1300.12,FREAK
AS,MUZZLE,49.90999994,1351.84,MUZZLE
