Participant,Prime,Prime_Duration,rt,Response
AW,CORNER,48.41999989,2333.33,CORNER
AW,TOTALLY,48.81499987,781.9599998,XXXXX
AW,SPUN,51.54499994,1500.905,SPUN
AW,VOID,49.33999991,300.0099999,XXXXX
AW,RESUME,50.10499991,1865.9,XXXXX
AW,VODKA,48.3599999,1049.26,XXXXX
AW,HOSTEL,50.77000009,1667.45,HOTEL
AW,LYNX,49.85499987,666.9600001,XXXXX
AW,DAMAGE,50.53000012,16.67000004,XXXXX
AW,MEET,50.03000004,1299.165,MEET
AW,EFFIGY,49.75999985,886.4449998,XXXXX
AW,MUZZLE,49.05000003,166.52,XXXXX
AW,PULL,48.75499988,967.5450001,XXXXX
AW,MIDLAND,49.55000011,33.41499995,XXXXX
AW,TRAITOR,48.57999994,8001.31,XXXXX
AW,MORAL,49.97499986,1885.365,MORAL
AW,FOREST,49.76000008,2150.95,FORMAL
AW,ERUPT,50.4050001,301.0249999,XXXXX
AW,LEND,51.31000001,3699.07,SEND
AW,CHEAT,49.6749999,333.45,XXXXX
AW,SPUNK,50.09999988,3817.57,XXXXX
AW,SHAVE,51.23999994,1066.64,XXXXX
AW,CEASE,48.8150001,1848.92,CHEESE
AW,PIAZZA,49.81999984,1183.96,XXXXX
AW,SNAP,51.19000003,1215.405,SNAP
AW,TRIVIA,50.24500005,399.9400001,XXXXX
AW,SUIT,49.82000007,8000.59,XXXXX
AW,SPAN,50.41499995,5266.545,XXXXX
AW,FREAK,51.12000019,1551.97,FREAK
AW,PEEP,49.81,1083.34,XXXXX
AW,FAUNA,49.37500018,550.05,XXXXX
AW,KEEP,50.66499999,1633.095,KEEP
AW,UNEASY,49.90500002,5017.02,XXXXX
AW,WIND,49.67999994,1384.82,WIND
AW,CHEER,50.04999996,1101.64,CHEER
AW,OPTION,49.24500012,2349.14,XXXXX
AW,REACTOR,49.12999994,2250.17,REACT
AW,STARK,48.91499993,1117.79,XXXXX
AW,CLAW,50.84499996,1616.98,CLAW
AW,FLAK,49.67000009,670.25,XXXXX
