Participant,Prime,Prime_Duration,rt,Response
CN,PEEP,48.96500002,7992.985,XXXXX
CN,LYNX,39.31999998,8020.51,XXXXX
CN,CEASE,48.69,7998.785,XXXXX
CN,MIDLAND,49.20000001,8008.69,XXXXX
CN,MORAL,46.83000001,1220.07,CORAL
CN,VOID,40.17000002,8001.985,XXXXX
CN,DAMAGE,48.87499998,2509.835,DAMAGE
CN,SPUN,39.95000001,7991.365,XXXXX
CN,PULL,49.05,1339.01,PULL
CN,SNAP,48.66499998,1207.08,SNAP
CN,SPAN,42.915,7999.045,XXXXX
CN,SHAVE,49.765,2652.105,SHAVE
CN,STARK,50.65000002,2267.325,SHARK
CN,KEEP,49.65,7990.6,XXXXX
CN,LEND,49.13999999,1231.96,LEND
CN,CHEER,50.00999998,2311.51,CHEER
CN,REACTOR,51.60500002,7988.905,XXXXX
CN,FREAK,49.40999998,8008.87,XXXXX
CN,RESUME,38.765,7995.29,XXXXX
CN,TOTALLY,49.19999998,7993.605,XXXXX
CN,WIND,49.02000001,7999.54,XXXXX
CN,CLAW,42.365,8000.335,XXXXX
CN,FAUNA,49.165,8010.55,XXXXX
CN,HOSTEL,49.14000002,1263.155,HOTEL
CN,SPUNK,50.38999999,2395.04,SPUNK
CN,TRAITOR,49.975,2655.11,TRAITOR
CN,FOREST,49.81999999,8002.08,XXXXX
CN,FLAK,48.43,7999.305,XXXXX
CN,ERUPT,40.5,8003.685,XXXXX
CN,CHEAT,48.40500001,7995.535,XXXXX
CN,UNEASY,49.08999999,3952.865,EASY
CN,MEET,55.04000001,2382.41,MEET
CN,OPTION,49.96999999,4798.67,SCORPION
CN,PIAZZA,38.15499999,8009.99,XXXXX
CN,TRIVIA,48.95,7989.655,XXXXX
CN,VODKA,46.73499998,8000.295,XXXXX
CN,MUZZLE,68.295,8001.245,XXXXX
CN,SUIT,55.54500001,7990.67,XXXXX
CN,EFFIGY,37.34000001,7997.775,XXXXX
CN,CORNER,40.14,8008.02,XXXXX
