Participant,Prime,Prime_Duration,rt,Response
HK,PEEP,49.98,1066.305,XXXXX
HK,SPUNK,49.77999999,1637.35,XXXXX
HK,STARK,49.845,2548.97,SMART
HK,MEET,50.665,1300.265,XXXXX
HK,FREAK,49.7,935.69,XXXXX
HK,VOID,50.875,466.4,XXXXX
HK,LEND,51.11,385.46,XXXXX
HK,CORNER,49.96,452.09,XXXXX
HK,SUIT,50.905,32.475,XXXXX
HK,PULL,48.78000001,1411.195,XXXXX
HK,MUZZLE,49.91,551.885,XXXXX
HK,SNAP,48.795,450.91,XXXXX
HK,TRAITOR,49.485,383.835,XXXXX
HK,FLAK,49.91,283.74,XXXXX
HK,CHEAT,50.13,52.48499999,XXXXX
HK,SPUN,49.28000001,841.295,XXXXX
HK,LYNX,50.17999999,516.3,XXXXX
HK,CEASE,49.39500001,419.05,XXXXX
HK,CLAW,49.845,368.325,XXXXX
HK,KEEP,50.13,383.865,XXXXX
HK,SHAVE,52.685,718.66,XXXXX
HK,TRIVIA,49.675,383.42,XXXXX
HK,MIDLAND,49.97000001,7997.28,XXXXX
HK,EFFIGY,50.65,7998.88,XXXXX
HK,WIND,50.085,333.135,XXXXX
HK,CHEER,49.975,317.16,XXXXX
HK,FAUNA,50.04,334.41,XXXXX
HK,OPTION,50.11,3667.97,XXXXX
HK,REACTOR,50.01000001,354.155,XXXXX
HK,MORAL,48.845,3149.455,XXXXX
HK,VODKA,49.96,335.025,XXXXX
HK,FOREST,48.79500001,350.6,XXXXX
HK,HOSTEL,49.84000001,366.85,XXXXX
HK,PIAZZA,48.89000001,918.86,XXXXX
HK,UNEASY,50.26,917.655,XXXXX
HK,ERUPT,50.05999999,1749.66,PURPLE
HK,SPAN,48.82,1548.7,XXXXX
HK,RESUME,49.94,1417.965,PERFUE
HK,DAMAGE,50.93,1116.255,XXXXX
HK,TOTALLY,50.365,2283.205,NICKEL
