RecalledWord,StudyPosition,Block
THIRST,1,1
ARGUE,2,1
MOTHER,3,1
STATES,4,1
CLUE,5,1
THREAD,6,1
PAIN,7,1
SEEK,8,1
SOAP,9,1
SPIDER,10,1
WILD,11,1
HUNGER,12,1
BRANCH,13,1
TENNIS,14,1
SQUARE,15,1
BUTTER,16,1
INHALE,17,1
BUCKET,18,1
LESS,19,1
PURPLE,20,1
LOOK,21,1
KIDNAP,22,1
BORROW,23,1
BALLET,24,1
TOUR,25,1
SLOW,26,1
SUPPER,27,1
ALIVE,28,1
WAITER,29,1
NEWS,30,1
MOST,31,1
NOSE,32,1
MIDDLE,33,1
TEST,34,1
WINTER,35,1
NAVY,36,1
CANDLE,37,1
READ,38,1
TOES,39,1
CHAIN,40,1
VERB,41,1
FIRST,42,1
MEAN,1,2
THERE,2,2
FINGER,3,2
ROCK,4,2
BEFORE,5,2
QUEEN,6,2
EARLY,7,2
TIGER,8,2
LEMON,9,2
MINUS,10,2
BEHIND,11,2
ANIMAL,12,2
OFFICE,13,2
GIRLS,14,2
PLANT,15,2
HORSE,16,2
UNCLE,17,2
WHERE,18,2
WHOLE,19,2
PEPPER,20,2
MINUTE,21,2
FOUND,22,2
WORST,23,2
FENCE,24,2
YOURS,25,2
CLOCK,26,2
SHARK,27,2
PHONE,28,2
CLOSE,29,2
TEETH,30,2
DOLLAR,31,2
SPOON,32,2
QUART,33,2
SHORT,34,2
ENTER,35,2
THROW,36,2
MUSCLE,37,2
CANCER,38,2
SHOVE,39,2
CORAL,40,2
LEAVES,41,2
GRASS,42,2
CRACKER,1,3
SMOOTH,2,3
CHAIR,3,3
GLORY,4,3
NUMBER,5,3
CHEESE,6,3
NEPHEW,7,3
OUTTAKE,8,3
CHANGE,9,3
JAIL,10,3
LAWYER,11,3
HORN,12,3
LENGTH,13,3
DREAM,14,3
WEST,15,3
WORK,16,3
MONEY,17,3
PICKLE,18,3
RIGHT,19,3
WEIGHT,20,3
CLAM,21,3
FLOWER,22,3
ORANGE,23,3
YELLOW,24,3
BEACH,25,3
BIRD,26,3
GUITAR,27,3
GROSS,28,3
STREAM,29,3
EGGS,30,3
FRIGHT,31,3
SELLER,32,3
TWELVE,33,3
DAGGER,34,3
SHEETS,35,3
NICKEL,36,3
STOP,37,3
FISH,38,3
SONG,39,3
BOMB,40,3
STAIRS,41,3
STORY,42,3
PICTURE,1,4
SMOKE,2,4
TRASH,3,4
TRAIN,4,4
SOUTH,5,4
GEEK,6,4
DEVIL,7,4
CAMP,8,4
STARS,9,4
NOISE,10,4
POUND,11,4
THIEF,12,4
DUSK,13,4
DOOR,14,4
MINOR,15,4
SORRY,16,4
BELOW,17,4
HOOP,18,4
KISS,19,4
BLACK,20,4
BRIDE,21,4
ROAD,22,4
PRESENT,23,4
JUMP,24,4
WORLD,25,4
SWAMP,26,4
KILL,27,4
DIRT,28,4
STOMACH,29,4
SHOES,30,4
DEAF,31,4
SWEET,32,4
LAND,33,4
LEARN,34,4
FROG,35,4
WHEAT,36,4
SMILE,37,4
FIVE,38,4
LAKE,39,4
HOTEL,40,4
GHOST,41,4
TIGHT,42,4
