DelayedWord,DelayedRT
XXXXX,8001.695
SPIDER,6265.705
BELOW,3032.88
BALL,7999.18
TRAIN,5882.285
POUND,7715.695
FIVE,1165.97
THIEF,4866.585
XXXXX,7999.835
NIGHT,7449.44
MOTHER,7999.98
GRANDMA,7999.46
XXXXX,7999.92
HIGHER,7982.7
STARS,1866.05
RISK,6565.605
XXXXX,8000.035
XXXXX,7999.465
XXXXX,7999.07
XXXXX,7999.665
XXXXX,7999.05
XXXXX,8002.74
XXXXX,8000.09
XXXXX,7996.63
XXXXX,7996.395
XXXXX,7999.51
XXXXX,7999.46
PRINCESS,2869.78
XXXXX,7999.58
XXXXX,7999.98
XXXXX,7999.59
XXXXX,7999.66
XXXXX,8003.34
XXXXX,7999.97
XXXXX,7999.48
XXXXX,7999.335
XXXXX,7999.16
XXXXX,8002.675
XXXXX,8003.645
XXXXX,7999.275
XXXXX,7999.35
XXXXX,7999.685
XXXXX,8003.4
XXXXX,7999.26
XXXXX,8002.47
XXXXX,7999.97
XXXXX,8003.3
XXXXX,8003.22
SHIFT,8004.515
XXXXX,7999.345
COMPANY,3916.09
DEATH,7098.87
XXXXX,7999.545
XXXXX,7999.125
XXXXX,7999.54
XXXXX,7999.415
XXXXX,7999.24
KEY,1832.47
XXXXX,7999.53
XXXXX,7999.04
XXXXX,7998.875
XXXXX,7999.51
XXXXX,7999.1
XXXXX,7999.54
XXXXX,7990.3
XXXXX,7465.905
XXXXX,4916.27
XXXXX,7999.715
POCKET,2608.92
XXXXX,7999.615
XXXXX,1249.9
XXXXX,7999.145
XXXXX,7999.34
XXXXX,8003.04
XXXXX,7999.29
XXXXX,8002.195
XXXXX,5716.31
